,name,lookup_value
74,SAMBUCUS VIRESCENS WHOLE,ELDERBERRY
75,COMMON ELDERBERRY WHOLE,ELDERBERRY
76,SAMBUCUS ROTUNDIFOLIA WHOLE,ELDERBERRY
77,GARCINIA GERRARDII HARV. EX SIM,GARCINIA
78,GARCINIA TRANSVAALENSIS WHOLE,GARCINIA
79,GARCINIA GERRARDII WHOLE,GARCINIA
80,GARCINIA NATALENSIS WHOLE,GARCINIA
81,GOLDENSEAL [HOC],GOLDENSEAL
82,HYDRASTIS CANADENSIS WHOLE,GOLDENSEAL
83,HYDRASTIS TRIFOLIA WHOLE,GOLDENSEAL
84,YELLOW WHOLE,GOLDENSEAL
85,YELLOW PUCCOON WHOLE,GOLDENSEAL
86,GOLDENSEAL WHOLE,GOLDENSEAL
87,WARNERIA CANADENSIS WHOLE,GOLDENSEAL
88,HYDRASTIS CANADENSIS L.,GOLDENSEAL
89,BALSAMEA MUKUL WHOLE,GUGGUL
90,COMMIPHORA MUKUL (HOOK. EX STOCKS) ENGL.,GUGGUL
91,BDELLIUM TREE WHOLE,GUGGUL
92,GUGGUL WHOLE,GUGGUL
93,GUGGUL [HOC],GUGGUL
94,COMMIPHORA MUKUL [WHO-DD],GUGGUL
95,COMMIPHORA MUKUL WHOLE,GUGGUL
96,COMMIPHORA ROXBURGHII WHOLE,GUGGUL
97,FALSE MYRRH WHOLE,GUGGUL
98,BALSAMODENDRUM MUKUL WHOLE,GUGGUL
99,GUGGULU WHOLE,GUGGUL
100,EPIMEDIUM PUBESCENS WHOLE,HORNY GOAT WEED
101,EPIMEDIUM PUBESCENS MAXIM.,HORNY GOAT WEED
102,EPIMEDIUM (EPIMEDIUM PUBESCENS) [HOC],HORNY GOAT WEED
103,ROU MA YIN YANG HUO WHOLE,HORNY GOAT WEED
104,YINYANGHUO WHOLE,HORNY GOAT WEED
105,HERBA EPIMEDII WHOLE,HORNY GOAT WEED
106,PUBESCENT EPIMEDIUM WHOLE,HORNY GOAT WEED
107,WESTERN SCOURINGRUSH WHOLE,HORSETAIL
108,SCOURINGRUSH,HORSETAIL
109,EQUISETUM HYEMALE,HORSETAIL
110,TALL SCOURING-RUSH WHOLE,HORSETAIL
111,EQUISETUM HYEMALE WHOLE,HORSETAIL
112,SCOURINGRUSH HORSETAIL WHOLE,HORSETAIL
113,SCOURING RUSH [HOC],HORSETAIL
114,HORSETAIL (EQUISETUM HYEMALE) [HOC],HORSETAIL
115,EQUISETUM HYEMALE [WHO-DD],HORSETAIL
116,HIPPOHAETE HYEMALIS WHOLE,HORSETAIL
117,EQUISETUM PRAEALTUM WHOLE,HORSETAIL
118,DUTCH RUSH,HORSETAIL
119,EQUISETUM HYEMALE [HPUS],HORSETAIL
120,SCOURING HORSETAIL WHOLE,HORSETAIL
121,ROUGH HORSETAIL,HORSETAIL
122,GLYCYRRHIZA OFFICINALIS WHOLE,LICORICE
123,GLYCYRRHIZA BRACHYCARPA WHOLE,LICORICE
124,SPANISH LIQUORICE WHOLE,LICORICE
125,GLYCYRRHIZA URALENSIS FISCH. EX DC.,LICORICE
126,GLYCYRRHIZA VULGARIS WHOLE,LICORICE
127,MERISTOTROPIS PAUCIFLORA WHOLE,LICORICE
128,WU LA GAN CAO WHOLE,LICORICE
129,SPANISH LICORICE WHOLE,LICORICE
130,GLYCYRRHIZA GLABRA L.,LICORICE
131,URAL LICORICE WHOLE,LICORICE
132,CHINESE LICORICE (GLYCYRRHIZA INFLATA) [HOC],LICORICE
133,GLYCYRRHIZA INFLATA WHOLE,LICORICE
134,MERISTOTROPIS PAUCIFOLIOLATA WHOLE,LICORICE
135,XINJIANG LICORICE WHOLE,LICORICE
136,GAN CAO WHOLE,LICORICE
137,GLYCYRRHIZA EURYCARPA WHOLE,LICORICE
138,LIQUIRITIA OFFICINALIS WHOLE,LICORICE
139,GLYCYRRHIZA GLANDULIFERA WHOLE,LICORICE
140,TURKISH LICORICE WHOLE,LICORICE
141,GLYCYRRHIZA HIRSUTA WHOLE,LICORICE
142,GUANG GUO GAN CAO WHOLE,LICORICE
143,GLYCYRRHIZA GLABRA WHOLE,LICORICE
144,RUSSIAN LICORICE WHOLE,LICORICE
145,GLYCYRRHIZA URALENSIS [WHO-DD],LICORICE
146,COMMON LICORICE WHOLE,LICORICE
147,YASHTIMADHU WHOLE,LICORICE
148,LICORICE (GLYCYRRHIZA GLABRA) [HOC],LICORICE
149,GLYCYRRHIZA INFLATA [WHO-DD],LICORICE
150,GLYCYRRHIZA PALLIDA WHOLE,LICORICE
151,CULTIVATED LICORICE WHOLE,LICORICE
152,GLYCYRRHIZA INFLATA BATALIN,LICORICE
153,COMMON LIQUORICE WHOLE,LICORICE
154,GLYCYRRHIZA HEDINIANA WHOLE,LICORICE
155,GLYCYRRHIZA URALENSIS WHOLE,LICORICE
156,GLYCYRRHIZA LAEVIS WHOLE,LICORICE
157,GLYCYRRHIZA GLABRA [WHO-DD],LICORICE
158,CHINESE LICORICE (GLYCYRRHIZA URALENSIS) [HOC],LICORICE
159,LIQUIRITIA OFFICINARUM WHOLE,LICORICE
160,GLYCYRRHIZA VIOLACEA WHOLE,LICORICE
161,GLYCYRRHIZA PAUCIFOLIOLATA WHOLE,LICORICE
162,SENNA ALEXANDRINA [WHO-DD],SENNA
163,JALELO WHOLE,SENNA
164,BHUIKHAKHASA WHOLE,SENNA
165,ALEXANDRIAN SENNA WHOLE,SENNA
166,CASSIA ELONGATA WHOLE,SENNA
167,CASSIA DECIPIENS WHOLE,SENNA
168,CASSIA LIGUSTRINOIDES WHOLE,SENNA
169,SANA WHOLE,SENNA
170,SENNA ALEXANDRINA WHOLE,SENNA
171,INDIAN SENNA WHOLE,SENNA
172,CASSIA MEDICA WHOLE,SENNA
173,SENNA [HOC],SENNA
174,CASSIA EHRENBERGII WHOLE,SENNA
175,KASSIYA OSTROLISTNAYA WHOLE,SENNA
176,SVARNAPATRI WHOLE,SENNA
177,AFRIKANSKAYA SENNA WHOLE,SENNA
178,CASSIA ACUTIFOLIA WHOLE,SENNA
179,TINNEVELLY SENNA WHOLE,SENNA
180,CASSIA MEDICINALIS WHOLE,SENNA
181,BOMBAY SENNA WHOLE,SENNA
182,CASSIA ALEXANDRINA WHOLE,SENNA
183,SENNA ANGUSTIFOLIA WHOLE,SENNA
184,CASSIA ORIENTALIS WHOLE,SENNA
185,CASSIA AETHIOPICA WHOLE,SENNA
186,TRUE SENNA WHOLE,SENNA
187,SENNA-I-MAKKI WHOLE,SENNA
188,CASSIA LANCEOLATA WHOLE,SENNA
189,SENNA ALEXANDRINA MILL.,SENNA
190,SENNA ACUTIFOLIA WHOLE,SENNA
191,CASSIA ANGUSTIFOLIA WHOLE,SENNA
192,CASSIA OVATA WHOLE,SENNA
193,CASSE WHOLE,SENNA
194,SENNA OFFICINALIS WHOLE,SENNA
195,HINDISANA WHOLE,SENNA
196,SENNA WHOLE,SENNA
197,CASSIA SENNA WHOLE,SENNA
198,CASSIA LENITIVA WHOLE,SENNA
199,BERBERIS SERRATIFOLIA WHOLE,BERBERIS ARISTATA
200,BERBERIS SIKKIMENSIS WHOLE,BERBERIS ARISTATA
201,BERBERIS UNDULATA WHOLE,BERBERIS ARISTATA
202,BERBERIS CERATOPHYLLA WHOLE,BERBERIS ARISTATA
203,BERBERIS ARISTATA [WHO-DD],BERBERIS ARISTATA
204,BERBERIS ARISTATA DC.,BERBERIS ARISTATA
205,BERBERIS BUSSMUL WHOLE,BERBERIS ARISTATA
206,BERBERIS COERULESCENS WHOLE,BERBERIS ARISTATA
207,DARVI WHOLE,BERBERIS ARISTATA
208,BERBERIS CHITRIA WHOLE,BERBERIS ARISTATA
209,INDIAN BARBERRY [HOC],BERBERIS ARISTATA
210,NEPALESE BARBERRY WHOLE,BERBERIS ARISTATA
211,INDIAN BARBERRY WHOLE,BERBERIS ARISTATA
212,BERBERIS GRACILLIMA WHOLE,BERBERIS ARISTATA
213,DARUHARIDRA WHOLE,BERBERIS ARISTATA
214,BERBERIS ARISTATA WHOLE,BERBERIS ARISTATA
215,BERBERIS COCCINEA WHOLE,BERBERIS ARISTATA
216,BERBERIS MACROPHYLLA WHOLE,BERBERIS ARISTATA
217,MULDERA MULTINERVIS WHOLE,PIPER NIGRUM
218,PEPPER [HOC],PIPER NIGRUM
219,BLACK PEPPER WHOLE,PIPER NIGRUM
220,PIPER NIGRUM L.,PIPER NIGRUM
221,PIPER NIGRUM WHOLE,PIPER NIGRUM
222,CUBAN OREGANO WHOLE,PLECTRANTHUS AMBOINICUS
223,INDIAN BORAGE WHOLE,PLECTRANTHUS AMBOINICUS
224,COLEUS AMBOINICUS WHOLE,PLECTRANTHUS AMBOINICUS
225,OCIMUM VAALAE WHOLE,PLECTRANTHUS AMBOINICUS
226,COLEUS SUBORBICULARIS WHOLE,PLECTRANTHUS AMBOINICUS
227,MEXICAN MINT WHOLE,PLECTRANTHUS AMBOINICUS
228,COLEUS AROMATICUS WHOLE,PLECTRANTHUS AMBOINICUS
229,MEXICAN THYME WHOLE,PLECTRANTHUS AMBOINICUS
230,COLEUS CRASSIFOLIUS WHOLE,PLECTRANTHUS AMBOINICUS
231,COLEUS VAALAE WHOLE,PLECTRANTHUS AMBOINICUS
232,INDIAN BORAGE [HOC],PLECTRANTHUS AMBOINICUS
233,INDIAN THYME WHOLE,PLECTRANTHUS AMBOINICUS
234,PLECTRANTHUS AMBOINICUS WHOLE,PLECTRANTHUS AMBOINICUS
235,VICK'S PLANT WHOLE,PLECTRANTHUS AMBOINICUS
236,COLEUS SUBFRUTECTOSUS WHOLE,PLECTRANTHUS AMBOINICUS
237,COLEUS CARNOSUS WHOLE,PLECTRANTHUS AMBOINICUS
238,MAJANA CARNOSA WHOLE,PLECTRANTHUS AMBOINICUS
239,COLEUS SUGANDA WHOLE,PLECTRANTHUS AMBOINICUS
240,MAJANA SUGANDA WHOLE,PLECTRANTHUS AMBOINICUS
241,PLECTRANTHUS AMBOINICUS (LOUR.) SPRENG.,PLECTRANTHUS AMBOINICUS
242,MAJANA AMBOINICA WHOLE,PLECTRANTHUS AMBOINICUS
243,CHINESE GOLDTHREAD WHOLE,COPTIS CHINENSIS
244,COPTIS CHINENSIS [WHO-DD],COPTIS CHINENSIS
245,HUANG LIAN WHOLE,COPTIS CHINENSIS
246,COPTIS CHINENSIS WHOLE,COPTIS CHINENSIS
247,COPTIS (COPTIS CHINENSIS) [HOC],COPTIS CHINENSIS
248,COPTIS CHINENSIS FRANCH.,COPTIS CHINENSIS
249,SURENUS SINENSIS WHOLE,TOONA SINENSIS
250,CEDRELA GLABRA WHOLE,TOONA SINENSIS
251,TOONA GLABRA WHOLE,TOONA SINENSIS
252,AILANTHUS FLAVESCENS WHOLE,TOONA SINENSIS
253,TOONA SINENSIS (JUSS.) M.ROEM.,TOONA SINENSIS
254,TOONA LONGIFOLIA WHOLE,TOONA SINENSIS
255,AILANTHUS MAIREI WHOLE,TOONA SINENSIS
256,CEDRELA SINENSIS WHOLE,TOONA SINENSIS
257,TOONA SINENSIS WHOLE,TOONA SINENSIS
258,EUROPEAN BLACK ELDERBERRY WHOLE,SAMBUCUS NIGRA
259,EUROPEAN BLACK ELDER WHOLE,SAMBUCUS NIGRA
260,BLACK ELDERBERRY WHOLE,SAMBUCUS NIGRA
261,EUROPEAN ELDER [HOC],SAMBUCUS NIGRA
262,SAMBUCUS AUREA WHOLE,SAMBUCUS NIGRA
263,SAMBUCUS NIGRA L.,SAMBUCUS NIGRA
264,SAMBUCUS PYRAMIDATA WHOLE,SAMBUCUS NIGRA
265,SAMBUCUS VULGARIS WHOLE,SAMBUCUS NIGRA
266,SAMBUCUS ALBA WHOLE,SAMBUCUS NIGRA
267,EUROPEAN ELDERBERRY WHOLE,SAMBUCUS NIGRA
268,SAMBUCUS LACINIATA WHOLE,SAMBUCUS NIGRA
269,ELDERBERRY WHOLE,SAMBUCUS NIGRA
270,SAMBUCUS NIGRA WHOLE,SAMBUCUS NIGRA
271,ELDER WHOLE,SAMBUCUS NIGRA
272,SAMBUCUS ARBORESCENS WHOLE,SAMBUCUS NIGRA
273,SAMBUCUS VIRESCENS WHOLE,SAMBUCUS NIGRA
274,COMMON ELDERBERRY WHOLE,SAMBUCUS NIGRA
275,SAMBUCUS ROTUNDIFOLIA WHOLE,SAMBUCUS NIGRA
276,GARCINIA GERRARDII HARV. EX SIM,GARCINIA GERRARDII
277,GARCINIA TRANSVAALENSIS WHOLE,GARCINIA GERRARDII
278,GARCINIA GERRARDII WHOLE,GARCINIA GERRARDII
279,GARCINIA NATALENSIS WHOLE,GARCINIA GERRARDII
280,GOLDENSEAL [HOC],HYDRASTIS CANADENSIS
281,HYDRASTIS CANADENSIS WHOLE,HYDRASTIS CANADENSIS
282,HYDRASTIS TRIFOLIA WHOLE,HYDRASTIS CANADENSIS
283,YELLOW WHOLE,HYDRASTIS CANADENSIS
284,YELLOW PUCCOON WHOLE,HYDRASTIS CANADENSIS
285,GOLDENSEAL WHOLE,HYDRASTIS CANADENSIS
286,WARNERIA CANADENSIS WHOLE,HYDRASTIS CANADENSIS
287,HYDRASTIS CANADENSIS L.,HYDRASTIS CANADENSIS
288,BALSAMEA MUKUL WHOLE,COMMIPHORA MUKUL
289,COMMIPHORA MUKUL (HOOK. EX STOCKS) ENGL.,COMMIPHORA MUKUL
290,BDELLIUM TREE WHOLE,COMMIPHORA MUKUL
291,GUGGUL WHOLE,COMMIPHORA MUKUL
292,GUGGUL [HOC],COMMIPHORA MUKUL
293,COMMIPHORA MUKUL [WHO-DD],COMMIPHORA MUKUL
294,COMMIPHORA MUKUL WHOLE,COMMIPHORA MUKUL
295,COMMIPHORA ROXBURGHII WHOLE,COMMIPHORA MUKUL
296,FALSE MYRRH WHOLE,COMMIPHORA MUKUL
297,BALSAMODENDRUM MUKUL WHOLE,COMMIPHORA MUKUL
298,GUGGULU WHOLE,COMMIPHORA MUKUL
299,EPIMEDIUM PUBESCENS WHOLE,EPIMEDIUM PUBESCENS
300,EPIMEDIUM PUBESCENS MAXIM.,EPIMEDIUM PUBESCENS
301,EPIMEDIUM (EPIMEDIUM PUBESCENS) [HOC],EPIMEDIUM PUBESCENS
302,ROU MA YIN YANG HUO WHOLE,EPIMEDIUM PUBESCENS
303,YINYANGHUO WHOLE,EPIMEDIUM PUBESCENS
304,HERBA EPIMEDII WHOLE,EPIMEDIUM PUBESCENS
305,PUBESCENT EPIMEDIUM WHOLE,EPIMEDIUM PUBESCENS
306,WESTERN SCOURINGRUSH WHOLE,EQUISETUM HYEMALE
307,SCOURINGRUSH,EQUISETUM HYEMALE
308,EQUISETUM HYEMALE,EQUISETUM HYEMALE
309,TALL SCOURING-RUSH WHOLE,EQUISETUM HYEMALE
310,EQUISETUM HYEMALE WHOLE,EQUISETUM HYEMALE
311,SCOURINGRUSH HORSETAIL WHOLE,EQUISETUM HYEMALE
312,SCOURING RUSH [HOC],EQUISETUM HYEMALE
313,HORSETAIL (EQUISETUM HYEMALE) [HOC],EQUISETUM HYEMALE
314,EQUISETUM HYEMALE [WHO-DD],EQUISETUM HYEMALE
315,HIPPOHAETE HYEMALIS WHOLE,EQUISETUM HYEMALE
316,EQUISETUM PRAEALTUM WHOLE,EQUISETUM HYEMALE
317,DUTCH RUSH,EQUISETUM HYEMALE
318,EQUISETUM HYEMALE [HPUS],EQUISETUM HYEMALE
319,SCOURING HORSETAIL WHOLE,EQUISETUM HYEMALE
320,ROUGH HORSETAIL,EQUISETUM HYEMALE
321,GLYCYRRHIZA OFFICINALIS WHOLE,GLYCYRRHIZA GLABRA
322,GLYCYRRHIZA BRACHYCARPA WHOLE,GLYCYRRHIZA GLABRA
323,SPANISH LIQUORICE WHOLE,GLYCYRRHIZA GLABRA
324,GLYCYRRHIZA URALENSIS FISCH. EX DC.,GLYCYRRHIZA URALENSIS
325,GLYCYRRHIZA VULGARIS WHOLE,GLYCYRRHIZA GLABRA
326,MERISTOTROPIS PAUCIFLORA WHOLE,GLYCYRRHIZA INFLATA
327,WU LA GAN CAO WHOLE,GLYCYRRHIZA URALENSIS
328,SPANISH LICORICE WHOLE,GLYCYRRHIZA GLABRA
329,GLYCYRRHIZA GLABRA L.,GLYCYRRHIZA GLABRA
330,URAL LICORICE WHOLE,GLYCYRRHIZA URALENSIS
331,CHINESE LICORICE (GLYCYRRHIZA INFLATA) [HOC],GLYCYRRHIZA INFLATA
332,GLYCYRRHIZA INFLATA WHOLE,GLYCYRRHIZA INFLATA
333,MERISTOTROPIS PAUCIFOLIOLATA WHOLE,GLYCYRRHIZA INFLATA
334,XINJIANG LICORICE WHOLE,GLYCYRRHIZA INFLATA
335,GAN CAO WHOLE,GLYCYRRHIZA GLABRA
336,GLYCYRRHIZA EURYCARPA WHOLE,GLYCYRRHIZA INFLATA
337,LIQUIRITIA OFFICINALIS WHOLE,GLYCYRRHIZA GLABRA
338,GLYCYRRHIZA GLANDULIFERA WHOLE,GLYCYRRHIZA GLABRA
339,TURKISH LICORICE WHOLE,GLYCYRRHIZA GLABRA
340,GLYCYRRHIZA HIRSUTA WHOLE,GLYCYRRHIZA GLABRA
341,GUANG GUO GAN CAO WHOLE,GLYCYRRHIZA GLABRA
342,GLYCYRRHIZA GLABRA WHOLE,GLYCYRRHIZA GLABRA
343,RUSSIAN LICORICE WHOLE,GLYCYRRHIZA GLABRA
344,GLYCYRRHIZA URALENSIS [WHO-DD],GLYCYRRHIZA URALENSIS
345,COMMON LICORICE WHOLE,GLYCYRRHIZA GLABRA
346,YASHTIMADHU WHOLE,GLYCYRRHIZA GLABRA
347,LICORICE (GLYCYRRHIZA GLABRA) [HOC],GLYCYRRHIZA GLABRA
348,GLYCYRRHIZA INFLATA [WHO-DD],GLYCYRRHIZA INFLATA
349,GLYCYRRHIZA PALLIDA WHOLE,GLYCYRRHIZA GLABRA
350,CULTIVATED LICORICE WHOLE,GLYCYRRHIZA GLABRA
351,GLYCYRRHIZA INFLATA BATALIN,GLYCYRRHIZA INFLATA
352,COMMON LIQUORICE WHOLE,GLYCYRRHIZA GLABRA
353,GLYCYRRHIZA HEDINIANA WHOLE,GLYCYRRHIZA INFLATA
354,GLYCYRRHIZA URALENSIS WHOLE,GLYCYRRHIZA URALENSIS
355,GLYCYRRHIZA LAEVIS WHOLE,GLYCYRRHIZA GLABRA
356,GLYCYRRHIZA GLABRA [WHO-DD],GLYCYRRHIZA GLABRA
357,CHINESE LICORICE (GLYCYRRHIZA URALENSIS) [HOC],GLYCYRRHIZA URALENSIS
358,LIQUIRITIA OFFICINARUM WHOLE,GLYCYRRHIZA GLABRA
359,GLYCYRRHIZA VIOLACEA WHOLE,GLYCYRRHIZA GLABRA
360,GLYCYRRHIZA PAUCIFOLIOLATA WHOLE,GLYCYRRHIZA INFLATA
361,SENNA ALEXANDRINA [WHO-DD],SENNA ALEXANDRINA
362,JALELO WHOLE,SENNA ALEXANDRINA
363,BHUIKHAKHASA WHOLE,SENNA ALEXANDRINA
364,ALEXANDRIAN SENNA WHOLE,SENNA ALEXANDRINA
365,CASSIA ELONGATA WHOLE,SENNA ALEXANDRINA
366,CASSIA DECIPIENS WHOLE,SENNA ALEXANDRINA
367,CASSIA LIGUSTRINOIDES WHOLE,SENNA ALEXANDRINA
368,SANA WHOLE,SENNA ALEXANDRINA
369,SENNA ALEXANDRINA WHOLE,SENNA ALEXANDRINA
370,INDIAN SENNA WHOLE,SENNA ALEXANDRINA
371,CASSIA MEDICA WHOLE,SENNA ALEXANDRINA
372,SENNA [HOC],SENNA ALEXANDRINA
373,CASSIA EHRENBERGII WHOLE,SENNA ALEXANDRINA
374,KASSIYA OSTROLISTNAYA WHOLE,SENNA ALEXANDRINA
375,SVARNAPATRI WHOLE,SENNA ALEXANDRINA
376,AFRIKANSKAYA SENNA WHOLE,SENNA ALEXANDRINA
377,CASSIA ACUTIFOLIA WHOLE,SENNA ALEXANDRINA
378,TINNEVELLY SENNA WHOLE,SENNA ALEXANDRINA
379,CASSIA MEDICINALIS WHOLE,SENNA ALEXANDRINA
380,BOMBAY SENNA WHOLE,SENNA ALEXANDRINA
381,CASSIA ALEXANDRINA WHOLE,SENNA ALEXANDRINA
382,SENNA ANGUSTIFOLIA WHOLE,SENNA ALEXANDRINA
383,CASSIA ORIENTALIS WHOLE,SENNA ALEXANDRINA
384,CASSIA AETHIOPICA WHOLE,SENNA ALEXANDRINA
385,TRUE SENNA WHOLE,SENNA ALEXANDRINA
386,SENNA-I-MAKKI WHOLE,SENNA ALEXANDRINA
387,CASSIA LANCEOLATA WHOLE,SENNA ALEXANDRINA
388,SENNA ALEXANDRINA MILL.,SENNA ALEXANDRINA
389,SENNA ACUTIFOLIA WHOLE,SENNA ALEXANDRINA
390,CASSIA ANGUSTIFOLIA WHOLE,SENNA ALEXANDRINA
391,CASSIA OVATA WHOLE,SENNA ALEXANDRINA
392,CASSE WHOLE,SENNA ALEXANDRINA
393,SENNA OFFICINALIS WHOLE,SENNA ALEXANDRINA
394,HINDISANA WHOLE,SENNA ALEXANDRINA
395,SENNA WHOLE,SENNA ALEXANDRINA
396,CASSIA SENNA WHOLE,SENNA ALEXANDRINA
397,CASSIA LENITIVA WHOLE,SENNA ALEXANDRINA
398,PINUS LUCIDA WHOLE,ABIES ALBA
399,ABIES TENUIRIFOLIA WHOLE,ABIES ALBA
400,ABIES DUPLEX WHOLE,ABIES ALBA
401,PEUCE ABIES WHOLE,ABIES ALBA
402,ABIES MINOR WHOLE,ABIES ALBA
403,PICEA METENSIS WHOLE,ABIES ALBA
404,ABIES RINZII WHOLE,ABIES ALBA
405,ABIES BALDENSIS WHOLE,ABIES ALBA
406,PICEA RINZI WHOLE,ABIES ALBA
407,PICEA PYRAMIDALIS WHOLE,ABIES ALBA
408,SILVER FIR WHOLE,ABIES ALBA
409,ABIES METENSIS WHOLE,ABIES ALBA
410,ABIES VULGARIS WHOLE,ABIES ALBA
411,ABIES TAXIFOLIA WHOLE,ABIES ALBA
412,PINUS PICEA WHOLE,ABIES ALBA
413,ABIES ARGENTEA WHOLE,ABIES ALBA
414,PINUS BALDENSIS WHOLE,ABIES ALBA
415,PICEA PECTINATA WHOLE,ABIES ALBA
416,ABIES ALBA MILL.,ABIES ALBA
417,PICEA TENUIFOLIA WHOLE,ABIES ALBA
418,PINUS HETEROPHYLLA WHOLE,ABIES ALBA
419,ABIES CANDICANS WHOLE,ABIES ALBA
420,PINUS ALBA WHOLE,ABIES ALBA
421,ABIES PARDEI WHOLE,ABIES ALBA
422,ABIES ALBA [WHO-DD],ABIES ALBA
423,PICEA KUKUNARIA WHOLE,ABIES ALBA
424,ABIES ABIES WHOLE,ABIES ALBA
425,ABIES MINIATA WHOLE,ABIES ALBA
426,ABIES ALBA WHOLE,ABIES ALBA
427,ABIES NOBILIS WHOLE,ABIES ALBA
428,ABIES CHLOROCARPA WHOLE,ABIES ALBA
429,PINUS PECTINATA WHOLE,ABIES ALBA
430,SILVER WATTLE WHOLE,ACACIA DEALBATA
431,ACACIA DERWENTII WHOLE,ACACIA DEALBATA
432,SYDNEY BLACK WATTLE WHOLE,ACACIA DEALBATA
433,ACACIA DECURRENS VAR. DEALBATA WHOLE,ACACIA DEALBATA
434,ACACIA AFFINIS WHOLE,ACACIA DEALBATA
435,ACACIA DEALBATA WHOLE,ACACIA DEALBATA
436,RACOSPERMA DEALBATUM WHOLE,ACACIA DEALBATA
437,ACACIA BERNIER WHOLE,ACACIA DEALBATA
438,MIMOSA DEALBATA WHOLE,ACACIA DEALBATA
439,ACACIA DEALBATA LINK,ACACIA DEALBATA
440,ACACIA PUBERULA WHOLE,ACACIA DEALBATA
441,MIMOSA WHOLE,ACACIA DEALBATA
