,name,lookup_value
30,ZI MO LI,DRIMA MARITIMA
31,BLUSHER WHOLE,SOLIDAGO SIMPLEX
32,ULMUS GROSSHEIMII WHOLE,HYPERICUM GENTIANOIDES
33,MORINDA ZOLLINGERIANA WHOLE,PTERIDIUM AQUILINUM
34,CROSSOPTERYX FEBRIFUGA (AFZEL. EX G.DON) BENTH.,FOMES FOMENTARIUS
35,DIPSACUS FULLONUM L.,CLARKIA PURPUREA
36,GOATSRUE,PALIURUS SPINA-CHRISTI
37,ULMUS DIVERSIFOLIA WHOLE,GENTIANA LUTEA
38,THAPSIA MAROCANA WHOLE,SWERTIA PSEUDOCHINENSIS
39,BLUMEA HOLOSERICEA WHOLE,SILENE LATIFOLIA
40,CASTANEA CHINCAPIN WHOLE,ACHILLEA NOBILIS
41,CAPRARIA MONNIERIA WHOLE,HANDROANTHUS HEPTAPHYLLUS
42,DOUGLAS SPRUCE WHOLE,CRATAEGUS MONOGYNA
43,DIPLOTAXIS VALENTINA WHOLE,CYPERUS ROTUNDUS
44,POLYGALA AMARA L.,CALLUNA VULGARIS
45,SWEET WORMWOOD [HOC],VICIA FABA
46,DULLLEAF INDIGO WHOLE,PAPAVER RHOEAS
47,BOLETUS MARGINATUS WHOLE,CAPSELLA BURSA-PASTORIS
48,PROFESSOR-WEED WHOLE,URENA LOBATA
49,TRIFOLIUM CORNICULATUM WHOLE,CLARKIA PURPUREA
50,VERONICA CHAMAEDRYA WHOLE,FRAXINUS AMERICANA
51,COOL-TANKARD WHOLE,SABAL MINOR
52,WHITE DUTCH CLOVER WHOLE,VICIA SATIVA
53,FICUS SALIX WHOLE,ASTRAGALUS MONSPESSULANUS
54,MONKEYSOAP WHOLE,RUBUS CUNEIFOLIUS
55,SALIX MATSUDANA WHOLE,ASCLEPIAS INCARNATA
56,RUBUS PARVIFOLIUS [WHO-DD],PLECTRANTHUS ESCULENTUS
57,PICEA ABIES WHOLE,SENECIO FISTULOSUS
58,BIDENS SCANDICINA WHOLE,CYANTHILLIUM CINEREUM
59,RIVINA VIRIDIFLORA WHOLE,CRATAEGUS AZAROLUS
60,GNAPHALIUM POLYCEPHALUM [WHO-DD],HORSETAIL
61,HERPESTIS BROWNEI WHOLE,LICORICE
62,GYNURA ASPERA WHOLE,MORELLA CERIFERA
63,ROSA BURNATII WHOLE,COMMELINA DIFFUSA
64,ANNATTO [HOC],AESCULUS PAVIA
65,EUROPEAN PENNYROYAL WHOLE,SMILAX ROTUNDIFOLIA
66,MORINDA BRACTEATA WHOLE,CENTAUREA BENEDICTA
67,COMMON WATER HYACINTH WHOLE,ACHILLEA NOBILIS
68,FRAGRANT EVERLASTING,ULMUS MINOR
69,PRENANTHES LACINIATA WHOLE,GLADIOLUS DALENII
70,OREJON WHOLE,STADMANIA OPPOSITIFOLIA
71,ANEMOPSIS CALIFORNICA (NUTT.) HOOK. & ARN.,MITCHELLA REPENS
72,LEPIDIUM ARVENSE WHOLE,CAPSELLA BURSA-PASTORIS
73,DISPERMA REPENS WHOLE,GLYCINE MAX
74,CAPSELLA LOBULATA WHOLE,ASTRAGALUS PROPINQUUS
75,COLA NITIDA,OPLOPANAX HORRIDUS
76,RUSCUS DUMOSUS WHOLE,MOMORDICA COCHINCHINENSIS
77,MEXICAN HEDGENETTLE WHOLE,UNCARIA TOMENTOSA
78,BIGARADE ORANGE WHOLE,SWERTIA LEDUCII
79,FOMES ALBUS WHOLE,CHIMAPHILA UMBELLATA
80,ASTRAGALUS MONSPESSULANUS L.,DAPHNE SERICEA
81,NIPPLEWORT,ARTEMISIA ANNUA
82,SMILAX BINCHUANENSIS [WHO-DD],TRIBULUS TERRESTRIS
83,ALCEA CRETICA WHOLE,AMOMUM VILLOSUM
84,EUGENIA AMANUENSIS WHOLE,SCHOENOPLECTUS TABERNAEMONTANI
85,SHORTLEAF BLACK SPRUCE WHOLE,SESELI LIBANOTIS
86,GLYCYRRHIZA HIRSUTA WHOLE,OPLOPANAX HORRIDUS
87,DESMODIUM GLUTINOSUM WHOLE,TEUCRIUM BOTRYS
88,EUZOMUM SATIVUM WHOLE,OENANTHE AQUATICA
89,CALADIUM ODORATUM WHOLE,SALVIA VERBENACA
90,ULMUS WYSSOTZKY WHOLE,CENTROSEMA VIRGINIANUM
91,MIKANIA MOLINENSIS WHOLE,CRATAEGUS MONOGYNA
92,AFROLICANIA ELAEOSPERMA,PSEUDOGNAPHALIUM OBTUSIFOLIUM
93,YELLOW BEET,SENNA OCCIDENTALIS
94,SENNA OCCIDENTALIS [WHO-DD],QUERCUS ILEX
95,ROMERILLO WHOLE (BIDENS PILOSA),AGELAEA PENTAGYNA
96,THUJA WAREANA WHOLE,ERIGERON FLORIBUNDUS
97,MALVINDA ANGUSTIFOLIA WHOLE,MANDRAGORA OFFICINARUM
98,HELEOPHYLAX TABERNAEMONTANI WHOLE,LUDWIGIA PEPLOIDES
99,ORANGEGRASS WHOLE,CARCHARHINUS LEUCAS
100,PAVIA WILLDENOWIANA WHOLE,ACTAEA RACEMOSA
101,ACHILLEA SETACEA WHOLE,XANTHIUM STRUMARIUM
102,AMANITA RUBESCENS WHOLE,BARBERRY
103,CICHORIUM BYZANTHINUM WHOLE,URENA LOBATA
104,APIUM CELLERI WHOLE,DIOSCOREA VILLOSA
105,NICOTIANA GLAUCA WHOLE,BERBERIS VULGARIS
106,COMMON FIG WHOLE,ROSA CANINA
107,EMILIA SONCHIFOLIA WHOLE,CYPERUS ROTUNDUS
108,SPHAGNUM SQUARROSUM WHOLE,ASTRAGALUS MONSPESSULANUS
109,LEONTICE THALICTRIFOLIUM WHOLE,GINGER
110,ROBINIA INERMIS WHOLE,CARYA ALBA
111,STACHYS CALIFORNICA WHOLE,TRAMETES VERSICOLOR
112,BRASSICA OLERACEA [WHO DD],AMANITA RUBESCENS
113,WOODLAND BURDOCK WHOLE,GINKGO BILOBA
114,COTTON CUDWEED WHOLE,OCIMUM TENUIFLORUM
115,THUNBERGIA STOLONIFERA WHOLE,RUBUS FLAGELLARIS
116,HYMENOSPERMUM DENTATUM WHOLE,SALVIA VERBENACA
117,CUMINUM AEGYPTIACUM WHOLE,OPLOPANAX HORRIDUS
118,ASCLEPIAS INCARNATA [WHO-DD],EMILIA SONCHIFOLIA
119,PHYSALIS MONTICOLA WHOLE,TABERNAEMONTANA DIVARICATA
120,PYCNANTHEMUM ELONGATUM WHOLE,LUDWIGIA PEPLOIDES
121,GLOSSY BUCKTHORN WHOLE,VITEX DONIANA
122,MALVA RACEMOSA WHOLE,PTERIDIUM AQUILINUM
123,PULEGIUM DAGHESTANICUM WHOLE,ENTEROLOBIUM CYCLOCARPUM
124,TAMARIX ELEGANS WHOLE,SILYBUM MARIANUM
125,ASCLEPIAS PERENNIS WHOLE,CAPSELLA BURSA-PASTORIS
126,MENTHA SPICATA WHOLE,BAUHINIA LONGIFOLIA
127,SPHAERIA MILITARIS WHOLE,CERATONIA SILIQUA
128,VEREIA AEGYPTIACA WHOLE,DELONIX REGIA
129,ASCLEPIAS PARVULA WHOLE,CERATONIA SILIQUA
130,DIOSPYROS CILIATA WHOLE,FICUS CARICA
131,JAPANESE MAT RUSH WHOLE,ARUNDO DONAX
132,QUERCUS ULIGINOSA WHOLE,SOLIDAGO ODORA
133,BAROSMA ORBICULARIS WHOLE,CYANTHILLIUM CINEREUM
134,LYCOPUS AMERICANUS MUHL. EX W.P.C.BARTON,COMBRETUM MOLLE
135,SALVIA DIGYNA WHOLE,VITIS AESTIVALIS
136,ENTEROLOBIUM CYCLOCARPA WHOLE,CROTON STELLATOPILOSUS
137,YUN XIANG,CYPERUS ROTUNDUS
138,COLLINSIA PARVIFLORA WHOLE,THONNINGIA SANGUINEA
139,BERBERIS HAKODATE WHOLE,CYANTHILLIUM CINEREUM
140,COCO-GRASS WHOLE,LICORICE
141,ESCHSCHOLZIA XYLORRHIZA WHOLE,PAULLINIA CUPANA
142,THELYPTERIS MACRORHIZOMA WHOLE,ROSA CANINA
143,DAPHNE CANTABRICA WHOLE,ULMUS MINOR
144,ACACIA HEMU WHOLE,MILK THISTLE
145,BUPLEURUM CHINENSE WHOLE,COPTIS
146,DITREMEXA CAROLINIANA WHOLE,RUTA GRAVEOLENS
147,ANTHYLLIS SERPENTINII WHOLE,QUERCUS NIGRA
148,RICINUS GIGANTEUS WHOLE,ABIES ALBA
149,SEA ONION WHOLE,BRASSICA RAPA
150,SEA FENNEL,PASPALUM NOTATUM
151,VERBASCUM THAPSUS L.,PELTANDRA VIRGINICA
152,CABBAGE PALM [HOC],SAMBUCUS NIGRA
153,RUBUS THUNBERGII WHOLE,LYCIUM BARBARUM
154,URENA LOBATA WHOLE,CYANTHILLIUM CINEREUM
155,STILLINGIA SYLVATICA [WHO-DD],ULMUS MINOR
156,CHIMAPHILA UMBELLATA (L.) W. BARTRAM,VICIA FABA
157,FIVE-WHOLE GINSENG WHOLE,MERTESIA VIRGINICA
158,SOLANUM GANCHOUENENSE WHOLE,GLYCINE MAX
159,THYMBRA CAPITATA,TRAMETES VERSICOLOR
160,MANDRAGORA OFFICINARUM WHOLE,MARKHAMIA LUTEA
161,SESBAN WHOLE,DIANTHUS CARTHUSIANORUM
162,PRUNELLA VULGARIS [WHO-DD],CALLUNA VULGARIS
163,BERBERIS AURAHUACENSIS WHOLE,DIPSACUS FULLONUM
164,CORYDALIS BUNGEANA [WHO-DD],FOMITOPSIS PINICOLA
165,TEUCRIUM CHAMAEDRYS WHOLE,CAMPSIS RADICANS
166,ROSA ACANTHINA WHOLE,CYPERUS ROTUNDUS
167,MOMORDICA ECIRRHATA WHOLE,ASARUM CANADENSE
168,CASSIA LIGUSTRINOIDES WHOLE,JUNIPERUS COMMUNIS
169,SMILAX GLABRA,AFRAMOMUM MELEGUETA
170,THYMUS NEPETOIDES WHOLE,TEUCRIUM BOTRYS
171,CITRUS X RESHNI WHOLE,HEUCHERA CYLINDRICA
172,STICKMANNIA OVALIFOLIA WHOLE,PSEUDOTSUGA MENZIESII
173,ERUCA VESICARIA (L.) CAV.,SAUSSUREA INVOLUCRATA
174,ESCHSCHOLZIA BENEDICTA WHOLE,MITRACARPUS HIRTUS
175,PASTINACA GRAVEOLENS WHOLE,CRITHMUM MARITIMUM
176,HORSETAIL (EQUISETUM HYEMALE) [HOC],CURCUMA LONGA
177,AGRIMONIA ADSCENDENS WHOLE,ZALUZIANSKYA CAPENSIS
178,VERBENA TRIPHYLLA WHOLE,DACTYLORHIZA INCARNATA
179,SCALLOPED HAMMERHEAD SHARK WHOLE,FICUS CARICA
180,ESCHSCHOLZIA CROCEA WHOLE,EUGENIA BIFLORA
181,TRUE SENNA WHOLE,MIMOSA PUDICA
182,FLORIDA SAND PLUM WHOLE,SALIX NIGRA
183,BURSA ORIGO WHOLE,ALBATRELLUS CONFLUENS
184,HANDROANTHUS HEPTAPHYLLUS [WHO-DD],VITIS AESTIVALIS
185,HIPPOPHAE SALICIFOLIA WHOLE,CITRULLUS LANATUS
186,CODONOPSIS GLABERRIMA WHOLE,CURCUMA LONGA
187,PHYSALIS VIRGINIANA WHOLE,LINARIA VULGARIS
188,MICROPTERYX CRISTA-GALLI WHOLE,AESCULUS HIPPOCASTANUM
189,GENTIANA REGELIANA WHOLE,ROSA CANINA
190,MIRABILIS JALAPA L.,RANUNCULUS ACRIS
191,TABERNAEMONTANA PENTASTICTA WHOLE,COLLINSIA PARVIFLORA
192,KALANCHOE AFZELIANA WHOLE,KNAUTIA ARVENSIS
193,POLYPORUS VERSICOLOR WHOLE,TRIBULUS TERRESTRIS
194,CAPSELLA BURSA-PASTORIS (L.) MEDIK.,CIRSIUM ERIOPHORUM
195,CEPHALANTHUS OCCIDENTALIS WHOLE,CENTAURIUM PULCHELLUM
196,MIKANIA BANISTERIAE DC.,GALIUM TRIFLORUM
197,SOLIDAGO ODORA WHOLE,MEDICAGO POLYMORPHA
198,AGELAEA TRIFOLIA WHOLE,ARDISIA CRENATA
199,NICOTIANA GLAUCA GRAHAM,AFROHYBANTHUS ENNEASPERMUS
200,PYRETHRUM VULGARE WHOLE,MIKANIA SCANDENS
201,CEPA ALBA WHOLE,PINUS MUGO
202,CASPARIA CONFUSA WHOLE,SIDA SPINOSA
203,CELTIS DURANDII WHOLE,MATRICARIA CHAMOMILLA
204,BERBERIS DUMETORUM WHOLE,ENDOTROPIS ALNIFOLIA
205,COMMON KIDNEY-VETCH WHOLE,SILENE LATIFOLIA
206,MEDICAGO FLEXUOSA WHOLE,CENTRANTHUS RUBER
207,WHITE WATERLILY WHOLE,LINARIA VULGARIS
208,SALVIA CERATOPHYLLA WHOLE,AMBROSIA ARTEMISIIFOLIA
209,ERYTHRAEA CASPICA WHOLE,TABERNAEMONTANA DIVARICATA
210,SALIX LUCIDA SUBSP. LASIANDRA WHOLE,GALIUM UNIFLORUM
211,QUERCUS NOVOMEXICANA WHOLE,SALVIA MICROPHYLLA
212,LEONURUS TRILOBATUS WHOLE,AGELAEA PENTAGYNA
213,EIN SIT WHOLE,ARISTOLOCHIA RUGOSA
214,LUDWIGIA ERECTA WHOLE,MELIA AZEDARACH
215,TRILOPUS HYEMALIS WHOLE,AMBROSIA ARTEMISIIFOLIA
216,BERBERIS CORALLINA WHOLE,ACANTHUS MOLLIS
217,CIRSIUM PUGNAX WHOLE,THYMBRA CAPITATA
218,CITRUS X FLORIDA WHOLE,BRASSICA JUNCEA
219,GALIUM ULIGINOSUM WHOLE,TAMARIX CHINENSIS
220,SALVIA LACINIATA WHOLE,GREWIA VILLOSA
221,BREADFRUIT WHOLE,CENTAURIUM ERYTHRAEA
222,CONYZA AMOENA WHOLE,SALVIA VERBENACA
223,PAPAVER COMMUTATUM WHOLE,IPOMOEA PANDURATA
224,EUPATORIUM CAESPITOSUM WHOLE,PICEA MARIANA
225,CODONOPSIS PILOSULA WHOLE,CAPSELLA BURSA-PASTORIS
226,KALANCHOE COCCINEA WHOLE,ALCHEMILLA XANTHOCHLORA
227,RHYNCHOSTYLIS ALBIFLORA WHOLE,URARIA CRINITA
228,MAIDEN BLUE EYED MARY WHOLE,PAPAVER SOMNIFERUM
229,CASSIA LUCIDA WHOLE,DELONIX REGIA
230,RUBUS NIGROBACCUS WHOLE,WISTERIA SINENSIS
231,SALVIA GASTERANTHA WHOLE,LIRIODENDRON TULIPIFERA
232,ANNUAL RAGWEED,CNIDOSCOLUS URENS
233,BRASSICA ERUCOIDES WHOLE,LONICERA JAPONICA
234,ANACTIS PILOSA WHOLE,CASTANEA MOLLISSIMA
235,FOREST BITTERBERRY WHOLE,GENTIANA PNEUMONANTHE
236,SERENOA REPENS [WHO-DD],CANTINOA AMERICANA
237,GLYCINE MAX [WHO-DD],ASCLEPIAS CURASSAVICA
238,ACHILLEA ERADIATA WHOLE,PELTANDRA VIRGINICA
239,GENTIANA LINIFOLIA WHOLE,CERATONIA SILIQUA
240,PERSIAN LILAC WHOLE,CASTANEA PUMILA
241,PLUCHEA INDICA [WHO-DD],MATRICARIA CHAMOMILLA
242,BACTRIS MAJOR,REYNOUTRIA MULTIFLORA
243,PINUS KESIYA VAR. KESIYA WHOLE,BACOPA MONNIERI
244,TILIA CANADENSIS WHOLE,DAPHNE GNIDIUM
245,CELTIS LAEVIGATA WILLD.,MACLURA TINCTORIA
246,SAWTOOTH CORIANDER WHOLE,TODDALIA ASIATICA
247,MITRACARPUS SCABER WHOLE,INDIGOFERA HIRSUTA
248,PERSICARIA OPELOUSANA WHOLE,LUDWIGIA ERECTA
249,TURNERA MICROPHYLLA WHOLE,ALLIUM CEPA
250,SASSAFRAS ALBIDUM WHOLE,SAMBUCUS EBULUS
251,CARTHAMUS EXSUCCUS WHOLE,ARDISIA CRENATA
252,GYMNEMA AFFINE WHOLE,URENA LOBATA
253,POTAMOCHARIS MAMEI WHOLE,VICIA SATIVA
254,MUTARDA NIGRA WHOLE,CITRUS AURANTIUM
255,CAPSELLA FURCATA WHOLE,SAPOSHNIKOVIA DIVARICATA
256,FIELD POPPY WHOLE,PEUMUS BOLDUS
257,FALSE SCHISANDRA WHOLE,ALECTRA SESSILIFLORA
258,ROSA OREADES WHOLE,LEPIDIUM MEYENII
259,VACCINIUM HUMILE WHOLE,SALIX BABYLONICA
260,SALVIA ODORATISSIMA WHOLE,SENNA OCCIDENTALIS
261,HAHNIA TORMINALIS WHOLE,CENTROSEMA VIRGINIANUM
262,SALIX COLUMBIAE WHOLE,AMBROSIA ARTEMISIIFOLIA
263,LIBANOTIS VULGARIS WHOLE,ALLIUM PORRUM
264,GALLITRICHUM PRATENSE WHOLE,AZADIRACHTA INDICA
265,HAIRYPOD HEDGEMUSTARD WHOLE,MAGNOLIA GRANDIFLORA
266,ULMARIA ULMARIA WHOLE,PHYSALIS VIRGINIANA
267,ANGELICA SINENSIS,ANDROPOGON VIRGINICUS
268,QUERCUS MARILANDICA,ANGELICA SINENSIS
269,MENTHA SPICATA [WHO-DD],AESCULUS PAVIA
270,CAPSELLA COLLINA WHOLE,MORUS RUBRA
271,EUTERPE BEARDII WHOLE,TANACETUM PARTHENIUM
272,FRAXINUS ALBA WHOLE,ARUNDO DONAX
273,LEPIDIUM AFFINE WHOLE,FOMES FOMENTARIUS
274,CEROTHAMNUS CERIFERUS WHOLE,TRAMETES VERSICOLOR
275,VACCINIUM TORREYANUM WHOLE,ULMUS MINOR
276,MEUM NEVADENSE WHOLE,CAPSELLA BURSA-PASTORIS
277,COMMON GREENBRIER WHOLE,ZALUZIANSKYA CAPENSIS
278,TRIBULUS ALBUS WHOLE,ILEX MUCRONATA
279,PTEROPHYLLUS SALISBURIENSIS WHOLE,COMBRETUM MOLLE
280,ROSA BELGRADENSIS WHOLE,HYPERICUM HYPERICOIDES
281,ZIZANIA CLAVULOSA WHOLE,SOLANUM LINNAEANUM
282,ULMUS NEMOROSA WHOLE,CENTROSEMA VIRGINIANUM
283,PRIONOPSIS CILIATA WHOLE,FRAXINUS AMERICANA
284,SALVIA MILTIORRHIZA BUNGE,BARBERRY
285,HARE'S EAR WHOLE (BUPLEURUM CHINENSE),ARALIA RACEMOSA
286,DAPHNE OLEOIDES SCHREB.,ZANTHOXYLUM ARMATUM
287,ANGELICA GRAVEOLENS WHOLE,HELICHRYSUM GYMNOCEPHALUM
288,GLECHOMA CALAMINTHODES WHOLE,MALVA SYLVESTRIS
289,BOBERELLA HALIMIFOLIA WHOLE,TILIA AMERICANA
290,CACHRYS MARITIMA WHOLE,MELISSA OFFICINALIS
291,MIKANIA MARTIANA WHOLE,MORINDA CITRIFOLIA
292,MIKANIA CAUDATA WHOLE,BERBERIS VULGARIS
293,SCROPHULARIA SAMARITANII WHOLE,NASTURTIUM OFFICINALE
294,AESCULUS MEMMINGERI,CASTANEA SATIVA
295,QUERCUS COOKII WHOLE,VERONICA CHAMAEDRYS
296,IONIDIUM ERECTUM WHOLE,GOLDENSEAL
297,GLYCYRRHIZA PAUCIFOLIOLATA WHOLE,ACORUS CALAMUS
298,CAPSELLA MEDITERRANEA WHOLE,ZIZANIA AQUATICA
299,EUPATORIUM VALVERDEANUM WHOLE,CRATAEGUS SONGARICA
300,HYGROPHILA RIVULARIS WHOLE,CASTILLEJA MINIATA
301,SALVIA ANOMALA WHOLE,ESCHSCHOLZIA CALIFORNICA
302,BOKHARA-CLOVER WHOLE,VACCINIUM ANGUSTIFOLIUM
303,ELDER WHOLE,HYSSOPUS OFFICINALIS
304,ZANTHOXYLUM ARMATUM DC.,ARUNDO DONAX
305,NERIUM LATIFOLIUM WHOLE,RIVINA HUMILIS
306,ANDROPOGON SENNARENSIS WHOLE,SALVIA MACROSIPHON
307,SOAPWORT WHOLE,JUGLANS REGIA
308,HICORIUS DIGUETII WHOLE,CHELIDONIUM MAJUS
309,ACHILLEA BOREALIS WHOLE,SALVIA PRATENSIS
310,ABSINTHIUM OFFICINALE WHOLE,NASTURTIUM OFFICINALE
311,BURSA TURONIENSIS WHOLE,ILEX MUCRONATA
312,SILYBUM MACULATUM WHOLE,DAPHNE GNIDIUM
313,PI PA WHOLE,CISTUS CRETICUS
314,CASTILLEJA TRINERVIS WHOLE,POGOSTEMON CABLIN
315,VICIA TERANA WHOLE,MACLURA TINCTORIA
316,ORIGANUM SMYRNAEUM WHOLE,PAPAVER SOMNIFERUM
317,RUBUS CANADENSIS,RUDBECKIA HIRTA
318,CHINESE AMOMUM (AMOMUM VILLOSUM) [HOC],ALLIUM PORRUM
319,BUTTERFLY-PEA WHOLE,SOLANUM NIGRUM
320,GARDEN SAGE WHOLE,AFRAMOMUM MELEGUETA
321,ENDOTROPIS ALNIFOLIA,SALVIA MILTIORRHIZA
322,LEPIDIUM EXIGUIFLORUM WHOLE,SALVIA OFFICINALIS
323,PARONYCHIA HISPANICA WHOLE,GLYCINE MAX
324,ANDROPOGON VIRGINICUS L.,ASARUM CANADENSE
325,SHORTLEAF YELLOW PINE WHOLE,VERONICA CHAMAEDRYS
326,DIGITALIS BRACHYANTHA WHOLE,TRIGONELLA CORNICULATA
327,AMBROSIA ARTEMISIAEFOLIA [HPUS],SALVIA ROSMARINUS
328,BERBERIS RUBRA WHOLE,CAPSELLA BURSA-PASTORIS
329,CHRYSANTHEMUM SUAVEOLENS WHOLE,BLUMEA LACERA
330,BAUHINIA DIVARICATA WHOLE,MAGNOLIA GRANDIFLORA
331,CROTALARIA CANNABINUA WHOLE,FERULA SINKIANGENSIS
332,WHITE-MAN'S-FOOT WHOLE,EMILIA SONCHIFOLIA
333,LICORICE (GLYCYRRHIZA GLABRA) [HOC],ARTEMISIA ARBORESCENS
334,ASARUM FURCATUM WHOLE,BAUHINIA LONGIFOLIA
335,INDIAN CATNIP [HOC],THELYPTERIS KUNTHII
336,JUGLANS LACINIATA WHOLE,ROSA CANINA
337,GLOSSOGYNE CHINENSIS WHOLE,PRUNUS ANGUSTIFOLIA
338,KELLAUA SCHIMPERI WHOLE,TILIA AMERICANA
339,HARONGA MONTANA WHOLE,RUBUS ALLEGHENIENSIS
340,MONIERA BROWNEI WHOLE,SALVIA VERBENACA
341,ERUCA LATIVALVIS WHOLE,COMMELINA DIFFUSA
342,RUBUS LACINIATUS WHOLE,SAMBUCUS CANADENSIS
343,ROSA X DAMASCENA VARIEGATA WHOLE,ERUCA VESICARIA
344,SCABIOSA CAMPESTRIS WHOLE,PTERIDIUM AQUILINUM
345,CINNA GLOMERATA WHOLE,VITIS VINIFERA
346,COLEUS AMBOINICUS WHOLE,SALIX PYRIFOLIA
347,URARIA CRINITA,ANEMONE HEPATICA
348,PINUS PUMILIO WHOLE,ARDISIA CRENATA
349,TRAMETES PINICOLA WHOLE,CANTINOA AMERICANA
350,CRACCA LEUCOSERICEA WHOLE,PISTIA STRATIOTES
351,ASPARAGOPSIS SARMENTOSA WHOLE,ARUNDO DONAX
352,ACHILLEA LAXIFLORA WHOLE,SALVIA VERBENACA
353,GENTIANA OLIVIERI GRISEB.,ARUNDO DONAX
354,ARUM MONTANUM WHOLE,CURCUMA LONGA
355,STACHYS CALIFORNICA WHOLE,ARCTIUM LAPPA
356,APIUM RAPACEUM WHOLE,AMOMUM AROMATICUM
357,ESCHSCHOLZIA ISOSTIGMA WHOLE,CENTAUREA BENEDICTA
358,EUCHYLIA VERTICILLATA WHOLE,ULMUS MINOR
359,GNAPHALIUM TENUE WHOLE,CAPSELLA BURSA-PASTORIS
360,CHAMOMILLA COURRANTIANA WHOLE,TAMARIX CHINENSIS
361,FIVELEAVED IVY WHOLE,ACHILLEA MILLEFOLIUM
362,WILLOUGHBYA GABRIELI WHOLE,GALIUM TRIFLORUM
363,RED MULBERRY WHOLE,NEPHROLEPIS CORDIFOLIA
364,VITIS TRICHOPHYLLA WHOLE,AMBROSIA ARTEMISIIFOLIA
365,COMBRETUM ANKOLENSE WHOLE,LECHEA MINOR
366,BIDENS PILOSA WHOLE,QUERCUS ALBA
367,CELERI GRAVEOLENS WHOLE,GALIUM APARINE
368,FOMES FOMENTARIUS WHOLE,EUCLEA RACEMOSA
369,THYMBRA CAPITATA (L.) CAV.,PETROSELINUM CRISPUM
370,REN SENG WHOLE,PONTEDERIA CORDATA
371,YAN SUI WHOLE,ANCHUSA OFFICINALIS
372,CUMETEA MINI WHOLE,MEDICAGO POLYMORPHA
373,MOUNTAIN WOODSORREL WHOLE,ANEMOPSIS CALIFORNICA
374,PYRUS NIVALIS JACQ.,BUPLEURUM CHINENSE
375,BRISTLY OXTONGUE WHOLE,CAPSELLA BURSA-PASTORIS
376,ANTELAEA AZADIRACHTA [WHO-DD],COPTIS CHINENSIS
377,MAGNOLIA EXONIENSIS WHOLE,GLADIOLUS DALENII
378,BIDENS HIRTA WHOLE,TUSSILAGO FARFARA
379,RANUNCULUS NEMORIVAGUS WHOLE,STACHYS MEXICANA
380,ARECA CATECHU [WHO-DD],SCHINUS TEREBINTHIFOLIA
381,HYLOTELEPHIUM TELEPHIUM WHOLE,HEUCHERA CYLINDRICA
382,AMORPHA CROCEOLANATA WHOLE,TARAXACUM OFFICINALE
383,MISTRALIA GNIDIUM WHOLE,CUPHEA CARTHAGENENSIS
384,CYCLAMEN NEAPOLITANUM WHOLE,ILEX MUCRONATA
385,THAPSIA SYLPHIUM WHOLE,PETROSELINUM CRISPUM
386,ERICA CONFUSA WHOLE,HAMAMELIS VIRGINIANA
387,CERRIS AUSTRIACA WHOLE,CRATAEGUS MONOGYNA
388,UNCARIA TOMENTOSA,ABIES ALBA
389,SOLANUM PAPILIONACEUM WHOLE,CAPSELLA BURSA-PASTORIS
390,TURMERIC [HOC],SIDA SPINOSA
391,WISTERIA SINENSIS,CHIONANTHUS VIRGINICUS
392,PTERIS LANUGINOSA WHOLE,GRINDELIA CILIATA
