FAERS_drug_match,lookup_value
Cinnamomum verum,BENZYL BENZOATE;BISMUTH HYDROXIDE;BISMUTH SUBGALLATE;MYROXYLON BALSAMU
Cinnamomum verum,BENZYL BENZOATE/RESORCINOL/BISMUTH SUBGALLATE/BISMUTH HYDROXIDE/ZINC OXIDE/MYROXYLON BALSAMUM VAR. P
Cinnamomum verum,"SUDOCREM (BENZYL ALCOHOL, BENZYL BENZOATE, BENZYL CINNAMATE, LANOLIN,"
Cinnamomum verum,"SUDOCREM (BENZYL ALCOHOL, BENZYL CLINNAMATE, BENZYL BENZOATE, ZINC OXIDE, LANOLIN)"
Cinnamomum verum,CASSIA
Cinnamomum verum,CASSIA ACUTIFOLIA
Cinnamomum verum,CASSIA ALATA
Cinnamomum verum,CASSIA ALEXANDRINA
Cinnamomum verum,CASSIA ANGUSTIFOLIA
Cinnamomum verum,"CASSIA, DOCUSATE"
Cinnamomum verum,CASSIA EXTRACT
Cinnamomum verum,CASSIA FISTULA
Cinnamomum verum,CASSIA FISTULA (+) CORIANDER (+) GLYCYRR
Cinnamomum verum,CASSIA FISTULA/SENNA
Cinnamomum verum,CASSIA OBOVATA
Cinnamomum verum,CASSIA SEED
Cinnamomum verum,CASSIA (SENNOSIDES)
Cinnamomum verum,CASSIA SIEBERIANA ROOTS
Cinnamomum verum,CASSIA (UNK INGREDIENTS)
Cinnamomum verum,CASSIA VIRGINICA
Cinnamomum verum,CASSIA VIRGINICA [SENNA OCCIDENTALIS]
Cinnamomum verum,"IDEOLAXIL (SENNA, CASSIA AUGUSTIFOLIA, ALOE) (TABLETS)"
Cinnamomum verum,SENNA/CASSIA FISTULA/TAMARINDUS INDICA/CORIANDRUM SATIVUM/GLYCYRRHIZA
Cinnamomum verum,SODIUM PICOSULPHATE/CASSIA SENNA/POLYGONUM PUNCTATUM/COLLINSONIA CANAD
Cinnamomum verum,"3,4-METHYLENEDIOXYCINNAMIC ACID"
Cinnamomum verum,ACENOCOUMARIN
Cinnamomum verum,ACENOCOUMARINE
Cinnamomum verum,AMINOCOUMARIN
Cinnamomum verum,COUMADIN /00627701/(COUMARIN)
Cinnamomum verum,"COUMADIN /00627701/(COUMARIN) TABLET, 5MG"
Cinnamomum verum,COUMADIN//COUMARIN
Cinnamomum verum,COUMARIN DERIVATIVE
Cinnamomum verum,COUMARINE
Cinnamomum verum,COUMARIN [PIROXICAM] (IN BROWN SOLUTION)
Cinnamomum verum,COUMARIN/VITAMIN K ANTAGONIST
Cinnamomum verum,COUMARIN/VIT-K-ANTAGONIST (VITAMIN K ANTAGONISTS)
Cinnamomum verum,DICOUMARIN
Cinnamomum verum,DICOUMARINS
Cinnamomum verum,"ESBERIVEN (COUMARIN, HEPARIN SODIUM, MELILOT, RUTIN)"
Cinnamomum verum,"ESBRERIVEN (COUMARIN, HEPARIN SODIUM, MELILOT , RUTIN)"
Cinnamomum verum,FURANOCOUMARINS
Cinnamomum verum,"VENALOT [COUMARIN,TROXERUTIN]"
Cinnamomum verum,VENALOT [COUMARIN;TROXERUTIN]
Cinnamomum verum,VENALOT CREAM (5 MG COUMARIN AND 50 IU SODIUM HEPARIN)
Cinnamomum verum,ANETHOLE AND BORNEOL AND CAMPHENE AND EUCALYPTOL AND FENCHONE AND PINE
Cinnamomum verum,CODEINE CAMSYLATE AND EUCALYPTOL
Cinnamomum verum,"COOL MINT LISTERINE (EUCALYPTOL, MENTHOL, METYL SALICYLATE, THYMOL)"
Cinnamomum verum,"COOL MINT LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)"
Cinnamomum verum,"COOL MINT, LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)"
Cinnamomum verum,"COOL MINT LISTERINE MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL,"
Cinnamomum verum,"COOL MINT LISTERINE POCKETPAKS (MENTHOL, METHYL SALICYLATE, EUCALYPTOL"
Cinnamomum verum,EUCALYPTOL + GUAIACOL + PHOLCODINE
Cinnamomum verum,EUCALYPTOL LIMONENE
Cinnamomum verum,"EUCALYPTOL, LIMONENE AND PINENE"
Cinnamomum verum,EUCALYPTOL LIMONENE PINENE
Cinnamomum verum,EUCALYPTOL/LIMONENE/PINENE
Cinnamomum verum,EUCALYPTOL/MENTHOL/METHYLSALICYLATE/THYMOL
Cinnamomum verum,"FRESHBURST LISTERINE (EUCALYPTOL, MENTHOL, METHYLSALICYLATE, THYMOL)"
Cinnamomum verum,"FRESHBURST LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)"
Cinnamomum verum,"FRESHBURST LISTERINE MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICYLATE"
Cinnamomum verum,"FRESHBURST LISTERINE MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL"
Cinnamomum verum,"FRESHBURST LISTERINE MOUTHWAS (MENTHOL, METHYL SALICYLATE, EUCALYPTOL"
Cinnamomum verum,"LISTERINE ANTISEPTIC MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICYLATE"
Cinnamomum verum,"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, MEHTYL SALICYLATE, EUCALYPTOL"
Cinnamomum verum,"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICLATE, EUCALYPTOL,"
Cinnamomum verum,"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL"
Cinnamomum verum,"LISTERINE  ANTISEPTIC  MOUTHWASH (MENTHYL SALICYLATE, EUCALYPTOL, THYM"
Cinnamomum verum,"LISTERINE ANTISEPTIC MOUTHWASH (MENTOL, METHYL SALICYLATE, EUCALYPTOL,"
Cinnamomum verum,"LISTERINE ANTISEPTIC MOUTHWASH (METNHOL, METHYL SALICYLATE, EUCALYPTOL"
Cinnamomum verum,"LISTERINE COOL CITRUS (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)"
Cinnamomum verum,"LISTERINE (EUCALYPTOL, MENTHOL, METHYL SACICYLATE, THYMOL)"
Cinnamomum verum,"LISTERINE FRESCOR CITRICO (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THY"
Cinnamomum verum,"LISTERINE (MENTHOL, METHYL SALICYCLATE, EUCALYPTOL, THYMOL)"
Cinnamomum verum,"LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)"
Cinnamomum verum,"LISTERINE POCKETPAKS CINNAMON (MENTHOL, METHYL SALICYCLATE, EUCALYPTOL"
Cinnamomum verum,"LISTERINE STAY WHITE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)"
Cinnamomum verum,"LISTERINE VANILLA MINT (MENTHOL,  METHYL SALICYLATE, EUCALYPTOL, THUMO"
Cinnamomum verum,"LISTERINE VANILLA MINT (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)"
Cinnamomum verum,"NATURAL CITRS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYMO"
Cinnamomum verum,"NATURAL CITRUS LISTERINE (EUCALYPTOL , MENTHOL, METHYL SALICYLATE, THY"
Cinnamomum verum,"NATURAL CITRUS LISTERINE (EUCALYPTOL, MENTHOL, METHYL  SALICYLATE, THY"
Cinnamomum verum,"NATURAL CITRUS LISTERINE (EUCALYPTOL, MENTHOL, METHYL SALICYLATE, THYM"
Cinnamomum verum,"NATURAL CITRUS LISTERINE (MEHTOL, METHYL SALICYLATE, EUCALYPTOL, THYMO"
Cinnamomum verum,"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYCLATE, EUCALYPTOL, THY"
Cinnamomum verum,"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM"
Cinnamomum verum,"NATURAL CITRUS LISTERINE (MENTHOL, METHYLSALICYLATE, EUCALYPTOL, THYMO"
Cinnamomum verum,"RINOBANEDIF (ANTAZOLINE NOS, BACITRACIN ZINC, EUCALYPTOL, NEOMYCIN SUL"
Cinnamomum verum,"SOFTMINT SENSATION LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL,"
Cinnamomum verum,"TARTAR CONTROL LISTERINE MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICY"
Cinnamomum verum,EUCALYPTUS LEMON PINENE ENTERIC SOFT CAPSULE
Linum usitatissimum,ASUFLAXANE
Linum usitatissimum,CEFLAX
Linum usitatissimum,CENAFLAX
Linum usitatissimum,CIPROFLAXACIN HD
Linum usitatissimum,CIPROFLAXACIN -ORAL 750 MG
Linum usitatissimum,CIPROFLAXACN
Linum usitatissimum,CIPROFLAXIN (3MG/ML)
Linum usitatissimum,CIPROFLAXIN 500 MG PER TAB
Linum usitatissimum,CIPROFLAXINA HC LAZAR
Linum usitatissimum,CIPROFLAXIN (CIPROGLOXACIN)
Linum usitatissimum,CIPROFLAXIN DO NOT RECALL DO NOT RECALL
Linum usitatissimum,CIPROFLAXIN DO NOT REMEMBER
Linum usitatissimum,CIPROFLAXIN GENERIC 250
Linum usitatissimum,CIPROFLOXACIN-CIPROFLAX HCL
Linum usitatissimum,CIRPROFLAXIN
Linum usitatissimum,COFLAX
Linum usitatissimum,DEFLAX
Linum usitatissimum,DEFLAXACOR
Linum usitatissimum,DEFLAXACORT
Linum usitatissimum,DIMOFLAX
Linum usitatissimum,DORZOFLAX
Linum usitatissimum,EFFEXOR SR (VENFLAXINE XR)
Linum usitatissimum,EFFEXOR (VENLAFLAXINE HYDROCHLORIDE)
Linum usitatissimum,EFFEXOR XR PROBLEM IS VENLAFLAXINE THE GENERIC
Linum usitatissimum,ENLAFLAXINE
Linum usitatissimum,FLAXAMINE
Linum usitatissimum,FLAXAROMINE
Linum usitatissimum,FLAXATE
Linum usitatissimum,FLAXCED
Linum usitatissimum,FLAXCETOL
Linum usitatissimum,FLAXENOL
Linum usitatissimum,FLAXERIL
Linum usitatissimum,FLAXID
Linum usitatissimum,FLAXIPARIN (CON.)
Linum usitatissimum,FLAXIPARINE
Linum usitatissimum,FURFLAX (NOS)
Linum usitatissimum,INFLAXEN
Linum usitatissimum,INFLAXIMAB
Linum usitatissimum,KAFLAX
Linum usitatissimum,LEVAFLAXASIN
Linum usitatissimum,LEVEFLAXIN
Linum usitatissimum,LEVOFLAXACINE
Linum usitatissimum,LEVOFLAXIN/DEXTROSE
Linum usitatissimum,MICROFLAX
Linum usitatissimum,NEUROFLAX
Linum usitatissimum,NORFLAXCIN
Linum usitatissimum,NORFLAXIN
Linum usitatissimum,OFLAX
Linum usitatissimum,OFLAXACIN 0.3%
Linum usitatissimum,OFLAXACIN 400MG TEVA
Linum usitatissimum,OFLAXACINE
Linum usitatissimum,OFLAXCIN
Linum usitatissimum,PANTEOFLAX
Linum usitatissimum,PROFLAX
Linum usitatissimum,REFLAX
Linum usitatissimum,RIFLAXIMIN
Linum usitatissimum,RX BENLAFLAXINE
Linum usitatissimum,SAFLAX
Linum usitatissimum,SOFLAX
Linum usitatissimum,SOFLAX                             /00061602/
Linum usitatissimum,SOFLAX /00061602/
Linum usitatissimum,SOFLAX (AUSTRALIA)
Linum usitatissimum,SOFLAX C
Linum usitatissimum,SOFLAX (CANADA)
Linum usitatissimum,SOFLAX [DOCUSATE SODIUM]
Linum usitatissimum,SOLFLAX
Linum usitatissimum,VANAFLAXINE
Linum usitatissimum,VENAFLAXINE
Linum usitatissimum,VENEFLAXIN
Linum usitatissimum,VENFLAXINE
Linum usitatissimum,VENFLAXINE-HCL
Linum usitatissimum,VENFLAXINE HR
Linum usitatissimum,VENFLAXINE HYDROCHLORIDE ER
Linum usitatissimum,VENFLAXINE HYDROCHLORIDE (VENLAFAXINE HYDROCHLORIDE)
Linum usitatissimum,VENLAFLAXINE 75 RET
Linum usitatissimum,VENLAFLAXINE CR
Linum usitatissimum,VENLAFLAXINE ER
Linum usitatissimum,VENLAFLAXIN HCL ER
Linum usitatissimum,VENLAFLAXIN RETARD
Linum usitatissimum,VENTLAFLAXIN
Linum usitatissimum,VERIFLAXEN TRILIGY BREATHING MACHINE
Linum usitatissimum,XANAFLAX
Linum usitatissimum,XANOFLAX
Linum usitatissimum,ZANAFLAX
Linum usitatissimum,ZANAFLAX (NOS)
Linum usitatissimum,ZENAFLAXIN
Camellia sinensis,1/4 TEASPOON TURMERIC IN 2 TABLESPOONS OF APPLE SAUCE
Camellia sinensis,5 GRASS MIX (AGROSTIS GIGANTEA POLLEN\ANTHOXANTHUM ODORATUM\DACTYLIS GLOMERATA\PHLEUM PRATENSE\POA PRATENSIS)
Camellia sinensis,5 GRASS MIX (AGROSTIS GIGANTEA POLLEN\ANTHOXANTHUM ODORATUM POLLEN\DACTYLIS GLOMERATA POLLEN\PHLEUM PRATENSE POLLEN\POA PRATENSIS POLLEN)
Camellia sinensis,ABBOTICIN /00020902/ (ABBOTICIN -ERYTHROMYCIN STEARATE) 500 MG (NOT SPECIFIED)
Camellia sinensis,ACETEALSESTINE
Camellia sinensis,ACETEAMINOPHEN
Camellia sinensis,ACTEAMINOPHEN /CODEINE
Camellia sinensis,ACTEAMINOPHEN CODEINE CAFFEINE
Camellia sinensis,ACTEAMINOPHEN (PARACETAMOL)
Camellia sinensis,ACTEAMINOPHEN W/CODEINE(PARACETAMOL CODEINE)
Camellia sinensis,AFTIFICIAL TEARS
Camellia sinensis,AKWA-TEARS
Camellia sinensis,AKWA TEARS [BENZALKONIUM CHLORIDE;EDETIC ACID;POLYVINYL ALCOHOL]
Camellia sinensis,AKWA TEARS LUBRICANT EYE DROPS
Camellia sinensis,ALCON TEARS NATURELLE #2
Camellia sinensis,ALLERGIN-REFRESH ARTIFICAL TEARS
Camellia sinensis,ALPHA-1 PROTEASE INHIBITOR
Camellia sinensis,"ALPHA GALACTOSIDASE A, HUMAN\AMYLASE\CELLULASE\HEMICELLULASE\LACTASE\LIPASE\PHYTASE (ASPERGILLUS NIGER)\PROTEASE"
Camellia sinensis,.ALPHA.?TOCOPHEROL\ACACIA\CALCIUM LACTATE\CALCIUM STEARATE\LIVER EXTRACT
Camellia sinensis,AMARA [ARTEMISIA ABSINTHIUM TINCTURE;CINCHONA PUBESCENS;GENTIANA LUTEA
Camellia sinensis,AMILASE+LIPASE PROTEASE
Camellia sinensis,AMLODIPINE BESILATEATORVASTATIN CALCIUM
Camellia sinensis,AMLODIPINE BESILATE/BESILATEATORVASTATIN CALCIUM
Camellia sinensis,AMPHOTERICIN B AND CHOLESTEROL AND DISTEAROYLPHOSPHATIDYLGLYCEROL AND
Camellia sinensis,AMPHOTERICIN B (+) CHOLESTEROL (+) DISTEAROYLPHOSPHATIDYLGLYCEROL (+)
Camellia sinensis,AMYLA/LIPA/PROTEA
Camellia sinensis,AMYLASE/ASCORBIC ACID/CELLULASE/FOLIC ACID/LIPASE/PROTEASE
Camellia sinensis,AMYLASE (+) CELLULASE (+) LIPASE (+) PANCREATIN (+) PROTEASE
Camellia sinensis,AMYLASE+LIPASE+PANCRELIPASE+PROTEASE
Camellia sinensis,AMYLASE-LIPASE-PROTEASE
Camellia sinensis,AMYLASE-LIPASE-PROTEASE CAPSULE
Camellia sinensis,AMYLASE-LIPASE-PROTEASE [PANCREASE]
Camellia sinensis,ANTI-INFLAMMATORY TEAS
Camellia sinensis,ANTIPROTEASE
Camellia sinensis,ANY BRAND SINGLE USE ARTIFICAL TEARS
Camellia sinensis,APPLE AND GINGER TEA
Camellia sinensis,APPLE CIDER VINEGAR TEA
Camellia sinensis,AQUA FILM TEARS
Camellia sinensis,AQUATEAR (POLYVINYL ALCOHOL AND BENZALKONIUM CHLORIDE)
Camellia sinensis,AQUATEARS
Camellia sinensis,*AQUA TEARS
Camellia sinensis,AQUA TEARS
Camellia sinensis,AQUATEARS                          /01282201/
Camellia sinensis,AQUA TEARS- AUGENGEL
Camellia sinensis,ARTFICIAL TEARS PROVINYL ALCOHOL
Camellia sinensis,ARTHROTEAN
Camellia sinensis,ARTICIAL TEARS
Camellia sinensis,ARTIFICAIL TEARS
Camellia sinensis,ARTIFICAL DRO TEARS
Camellia sinensis,ARTIFICAL TEAR OINTMENT
Camellia sinensis,ARTIFICAL TEARS
Camellia sinensis,ARTIFICAL TEARS /00445101.
Camellia sinensis,ARTIFICAL TEARS 0.3% DROPS
Camellia sinensis,ARTIFICAL TEARS (ARTIFICIAL TEARS)
Camellia sinensis,ARTIFICAL TEARS POLYVINYL ALCHOLOL
Camellia sinensis,ARTIFICIAL DRO TEARS
Camellia sinensis,"ARTIFICIAL SALIVA, VISOTEAR"
Camellia sinensis,ARTIFICIAL SOL TEARS
Camellia sinensis,ARTIFICIAL SOLUTION TEARS
Camellia sinensis,ARTIFICIAL TEAR
Camellia sinensis,ARTIFICIAL TEAR 0.1?0.3%
Camellia sinensis,ARTIFICIAL TEAR DROP
Camellia sinensis,ARTIFICIAL TEAR DROPS
Camellia sinensis,ARTIFICIAL TEAR MYTEAR
Camellia sinensis,ARTIFICIAL TEAR MY TEAR
Camellia sinensis,ARTIFICIAL TEAR OINTMENT
Camellia sinensis,ARTIFICIAL TEAR OPHT
Camellia sinensis,ARTIFICIAL TEAR OPTIVAL
Camellia sinensis,ARTIFICIALTEARS
Camellia sinensis,ARTIFICIAL TEARS
Camellia sinensis,ARTIFICIAL TEARS                   =
Camellia sinensis,(ARTIFICIAL TEARS /00445101/)
Camellia sinensis,ARTIFICIAL TEARS                   /00445101/
Camellia sinensis,ARTIFICIAL TEARS /00445101/
Camellia sinensis,ARTIFICIAL TEARS  /00445101/ (HYPROMELLOSE) SOLUTION (EXCEPT SYRUP)
Camellia sinensis,ARTIFICIAL TEARS                   /00582501/
Camellia sinensis,ARTIFICIAL TEARS                   /00880201/
Camellia sinensis,ARTIFICIAL TEARS /00880201/
Camellia sinensis,ARTIFICIAL TEARS 0.1-0.3 % SOLN
Camellia sinensis,ARTIFICIAL TEARS                   /04030201/
Camellia sinensis,ARTIFICIAL TEARS 1.4%
Camellia sinensis,ARTIFICIAL TEARS                   /90046201/
Camellia sinensis,ARTIFICIAL TEARS /90046201/
Camellia sinensis,ARTIFICIAL TEARS AND LUBRICANT
Camellia sinensis,ARTIFICIAL TEARS AND SALIVA
Camellia sinensis,ARTIFICIAL TEARS (ARTIFICIAL
Camellia sinensis,ARTIFICIAL TEARS (ARTIFICIAL TEARS)
Camellia sinensis,ARTIFICIAL TEARS [ARTIFICIAL TEARS]
Camellia sinensis,ARTIFICIAL TEARS (ARTIFICIAL TEARS) (DROPS)
Camellia sinensis,ARTIFICIAL TEARS (ARTIFICIAL TEARS) (NULL)
Camellia sinensis,"ARTIFICIAL TEARS [BENZALKONIUM CHLORIDE,EDETATE DISODIUM,POLYVINYL"
Camellia sinensis,ARTIFICIAL TEARS (BENZALKONIUM CHLORIDE (+) GLYCERIN (+) PROPYLENE GLY
Camellia sinensis,ARTIFICIAL TEARS DROP
Camellia sinensis,ARTIFICIAL TEARS DROPS
Camellia sinensis,ARTIFICIAL TEARS (DROPSTAR TG)
Camellia sinensis,ARTIFICIAL TEARS EYEDROPS
Camellia sinensis,ARTIFICIAL TEARS EYE DROPS
Camellia sinensis,ARTIFICIAL TEARS EYE OINTMENT
Camellia sinensis,ARTIFICIAL TEARS FOR DRY EYES
Camellia sinensis,ARTIFICIAL TEARS (HYPEROMELLOSE)
Camellia sinensis,ARTIFICIAL TEARS [HYPROMELLOSE]
Camellia sinensis,ARTIFICIAL TEARS//HYPROMELLOSE
Camellia sinensis,ARTIFICIAL TEARS (ISOPTO TEARS)
Camellia sinensis,ARTIFICIAL TEARS LUBRICANT
Camellia sinensis,ARTIFICIAL TEARS LUBRICANT EYE DROPS
Camellia sinensis,ARTIFICIAL TEARS LUBRICANT EYE DROPS PF
Camellia sinensis,ARTIFICIAL TEARS (NO INGREDIENTS/SUBSTANCES)
Camellia sinensis,ARTIFICIAL TEARS NOS
Camellia sinensis,ARTIFICIAL TEARS OINTMENT
Camellia sinensis,ARTIFICIAL TEAR SOLUTION
Camellia sinensis,ARTIFICIAL TEARS OP
Camellia sinensis,ARTIFICIAL TEARS OPHTHALMIC SOLUTION
Camellia sinensis,ARTIFICIAL TEARS (OTC)
Camellia sinensis,"ARTIFICIAL TEARS [PARAFFIN, LIQUID;WHITE SOFT PARAFFIN]"
Camellia sinensis,ARTIFICIAL TEARS PF
Camellia sinensis,ARTIFICIAL TEARS POLYCINYL ALCOHOL INSTILL
Camellia sinensis,ARTIFICIAL TEARS POLYVIN
Camellia sinensis,ARTIFICIAL TEARS [POLYVINYL ALCOHOL]
Camellia sinensis,ARTIFICIAL TEARS//POLYVINYL ALCOHOL
Camellia sinensis,ARTIFICIAL TEARS [POLYVINYL ALCOHOL;POVIDONE]
Camellia sinensis,ARTIFICIAL TEARS/POVIDONE
Camellia sinensis,ARTIFICIAL TEARS [PROPYLENE GLYCOL]
Camellia sinensis,ARTIFICIAL TEARS//PROPYLENE GLYCOL
Camellia sinensis,ARTIFICIAL TEARS PVA
Camellia sinensis,ARTIFICIAL TEARS PVA 1.4%/POVIDONE
Camellia sinensis,ARTIFICIAL TEARS PVA 1.4/POVIDONE (PF)
Camellia sinensis,ARTIFICIAL TEARS PVA 1.4%/POVIDONE (PF)
Camellia sinensis,ARTIFICIAL TEARS PVA/POVIDONE (PF)
Camellia sinensis,ARTIFICIAL TEARS Q4H
Camellia sinensis,ARTIFICIAL TEARS (REGULAR)
Camellia sinensis,"ARTIFICIAL TEARS SOLN, OPH"
Camellia sinensis,ARTIFICIAL TEARS SOLUTION
Camellia sinensis,ARTIFICIAL TEARS SOLUTION (EXCEPT SYRUP)
Camellia sinensis,ARTIFICIAL TEARS/SYSTANE ULTRA
Camellia sinensis,ARTIFICIAL TEARS -TEARISOL-
Camellia sinensis,ARTIFICIAL TEARS [UMBRELLA TERM]
Camellia sinensis,ARTIFICIAL TEARS (UNK INGREDIENTS)
Camellia sinensis,ARTIFICIAL TEARS UNSPECIFIED
Camellia sinensis,ARTIFICIAL TEARS                        /USA/
Camellia sinensis,ARTIF TEARS
Camellia sinensis,ARTIF TEARS 0.5% SOLUTION
Camellia sinensis,ARTRIFICAL TEARS
Camellia sinensis,ART TEARS
Camellia sinensis,ART TEARS PRES-FREE
Camellia sinensis,ASACOLON (LACOTSE MONOHYDRATE/MAGNESIUM STEARATE/MESALAZINE/METHYLACRYLIC ACID/METHYL)
Camellia sinensis,"ASAL (ARACGUS GTOIGAEA OIL, ARACHIS OIL, ASCORBIC ACID, GLYCERYL MONOSTEARATE, LECITHINUM SOYA, MANG"
Camellia sinensis,"ASCORBIC ACID, GENTIANA LUTEA ROOT, PRIMULA SPP. FLOWER, RUMEX ACETOSA"
Camellia sinensis,ATRIFICIAL TEARS
Camellia sinensis,AUTOLOGOUS SERUM TEARS
Camellia sinensis,AUTOLOGUS SERUM TEARS
Camellia sinensis,AYURVEDIC ^TRIPHALA^ TEAL
Camellia sinensis,BABY TEAR FREE SUNBLOCK 50 SPF BANANA BOAT
Camellia sinensis,BAKING SODA (TEASPOON)
Camellia sinensis,BALANCE TEARS
Camellia sinensis,BANANA BOAT BABY TEAR FREE LOTION SPF 50
Camellia sinensis,BANANA BOAT KIDS TEAR FREE BROAD SPECTRUM SUNSCREEN SPF 50
Camellia sinensis,BANANA BOAT KIDS TEAR FREE CONTINUOUS SPF 50
Camellia sinensis,BANANA BOAT KIDS TEAR FREE SPF 30 BANA BOAT
Camellia sinensis,BI 201335 (HCV PROTEASE INHIBITOR)
Camellia sinensis,"BIAFINE(BIAFINE /00834001/)(PROPYLENE GLYCOL, TROLAMINE, ETHYLENE GLYCOL MONOSTEARATE, STEARYL ALCOHOL, CETYL PALMITATE, PARAFFIN, PARAFFIN, LIQUID, SODIUM ALGINATE)"
Camellia sinensis,BIAFINE (CETYL PALMITATE/ETHYLENE GLYCOL MONOSTEARATE/PARAFFIN/PARAFFI
Camellia sinensis,"BIAFINE CREAM (PROPYLENE GLYCOL, TROLAMINE, ETHYLENE GLYCOL MONOSTEARA"
Camellia sinensis,"BIAFINE (PROPYLENE GLYCOL, STEARYL ALCOHOL, ETHYLENE GLYCOL MONOSTEARA"
Camellia sinensis,"BIAFINE (STEARYL ALCOHOL, ETHYLENE GLYCOL, MONOSTEARATE TROLAMINE)"
Camellia sinensis,BIG TEARS FOR EYES
Camellia sinensis,BINK GEL TEARS
Camellia sinensis,BION TEAR
Camellia sinensis,BION TEARS 0.3%/ 0.1%
Camellia sinensis,BION TEARS EYE DROPS
Camellia sinensis,BION TEAS
Camellia sinensis,BIOSYNTRX BIOTEARS
Camellia sinensis,BIOTEAR
Camellia sinensis,BIOTEARS
Camellia sinensis,BIO-TEARS
Camellia sinensis,BIO- TEARS
Camellia sinensis,BIO TEARS (TEARS PLUS)
Camellia sinensis,BLACKBERRY POMEGRANATE TEA
Camellia sinensis,BLACK CURRANT (+) TEA
Camellia sinensis,BLANK GEL TEARS
Camellia sinensis,BLINDED BI 201335 (HCV PROTEASE INHIBITOR)
Camellia sinensis,BLINDED GS 9256 (NS3 PROTEASE INHIBITOR)
Camellia sinensis,BLINDED PROTEASE INHIBITOR NOS
Camellia sinensis,BLINDED SCH 503034                (HCV PROTEASE INHIBITOR)
Camellia sinensis,BLINDED SCH 503034 (S-P) (HCV PROTEASE INHIBITOR
Camellia sinensis,BLINDED SCH 503034 (S-P) (HCV PROTEASE INHIBITOR)
Camellia sinensis,BLINDED SCH (S-P) (HCV PROTEASE INHIBITOR)
Camellia sinensis,BLINDED SCJ 503034             (HCV PROTEASE INHIBITOR)
