FAERS_drug_match,lookup_value,indi_pt
RUSCUS ACULEATUS ^BUTCHER'S BROOM^,Butcher's-broom,
ASCORBIC ACID/HESPERIDIN METHYL CHALCONE/RUSCUS ACULEATUS,Butcher's-broom,
CYCLO 3 [ASCORBIC ACID;HESPERIDIN METHYL CHALCONE;RUSCUS ACULEATUS],Butcher's-broom,
"CYCLO 3          (MELILOTUS OFFICINALIS, RUSCUS ACULEATUS)",Butcher's-broom,
CYCLO 3 [MELILOTUS OFFICINALIS;RUSCUS ACULEATUS],Butcher's-broom,
"CYCLO (MELIOTUS OFFICINALIS, RUSCUS ACULEATUS)",Butcher's-broom,
"FIBLAST (ASCORBIC ACID, HESPERIDIN METHYL CHALCONE, RUSCUS ACULEATUS)",Butcher's-broom,
HESPERIDINA METILCHALCONA . ORAL (RUSCUS ACULEATUS EXTRACT),Butcher's-broom,
HESPERIDIN METHYL CHALCONE;RUSCUS ACULEATUS D,Butcher's-broom,Product used for unknown indication
PHLEBODRIL (ASCORBIC ACID/HESPERIDIN METHYL CHALCONE/RUSCUS ACULEATUS),Butcher's-broom,
PHLEBODRIL N (RUSCUS ACULEATUS MELILOTUS OFFICINALIS),Butcher's-broom,
RUSCUS ACULEATUS,Butcher's-broom,Joint swelling
RUSCUS ACULEATUS,Butcher's-broom,Poor peripheral circulation
RUSCUS ACULEATUS,Butcher's-broom,Cardiovascular disorder
RUSCUS ACULEATUS,Butcher's-broom,Nutritional supplementation
RUSCUS ACULEATUS,Butcher's-broom,Rosacea
RUSCUS ACULEATUS,Butcher's-broom,Postural orthostatic tachycardia syndrome
RUSCUS ACULEATUS EXTRACT,Butcher's-broom,Diabetic foot
RUSCUS ACULEATUS EXTRACT,Butcher's-broom,Drug use for unknown indication
"RUSCUS ACULEATUS, MELILOT (NON-ABBOTT)",Butcher's-broom,Drug use for unknown indication
RUSCUS ACULEATUS                    (RUSCUS ACULEATUS),Butcher's-broom,
CAT'S CLAW,Cat's-claw,Arthralgia
CAT'S CLAW,Cat's-claw,Inflammation
CAT'S CLAW,Cat's-claw,Product used for unknown indication
CAT'S CLAW,Cat's-claw,Nutritional supplementation
CAT'S CLAW,Cat's-claw,Arthritis
CAT'S CLAW,Cat's-claw,Chronic obstructive pulmonary disease
CAT'S CLAW,Cat's-claw,Drug use for unknown indication
CAT'S CLAW BARK,Cat's-claw,
CAT'S CLAW EXTRACT,Cat's-claw,
CAT'S CLAW HERBAL REMEDY,Cat's-claw,Drug use for unknown indication
CAT'S CLAW (UNCARIA TOMENTOSA),Cat's-claw,
CATS CLAW [UNCARIA TOMENTOSA],Cat's-claw,Product used for unknown indication
CATS CLAW (UNCARIA TOMENTOSA/GUIANENSIS) CAPSULES,Cat's-claw,
CATS CLAW [UNCARIA TOMENTOSA STEM BARK],Cat's-claw,Product used for unknown indication
UNCARIA TOMENTOSA,Cat's-claw,Drug use for unknown indication
UNCARIA TOMENTOSA,Cat's-claw,Product used for unknown indication
UNCARIA TOMENTOSA BARK POWDER,Cat's-claw,Product used for unknown indication
UNCARIA TOMENTOSA/CUPHEA BALSAMONA/MAYTENUS ILICIFOLIA (HERBS),Cat's-claw,Drug use for unknown indication
UNCARIA TOMENTOSA/CUPHEA BALSAMONA/MAYTENUS ILICIFOLIA (HERBS),Cat's-claw,Product used for unknown indication
"ASARUM SPP. ROOT, CINNAMOMUM CASSIA BARK, EPHEDRA SPP. HERB, GLYCYRRHI",Cinnamon,Product used for unknown indication
CASSIA (CINNAMOMUM VERUM) (CINNAMOMUM VERUM),Cinnamon,
CASSIA CINNAMON,Cinnamon,Phytotherapy
CINNAMOMUM CASSIA,Cinnamon,Product used for unknown indication
CINNAMOMUM CASSIA BARK,Cinnamon,Product used for unknown indication
CINNAMOMUM CASSIA BARK/EPHEDRA SPP. HERB/GLYCYRRHIZA SPP. ROOT/PAEONIA LACTIFLORA ROOT/PUERARIA LOBA,Cinnamon,Musculoskeletal stiffness
"CINNAMOMUM CASSIA BARK, PAEONIA LACTIFLORA ROOT, PAEONIA X SUFFRUTICOS",Cinnamon,Product used for unknown indication
CINNAMON BARK CASSIA,Cinnamon,
CINNAMON [CINNAMOMUM CASSIA BARK],Cinnamon,Supplementation therapy
CINNAMON [CINNAMOMUM CASSIA BARK],Cinnamon,Product used for unknown indication
CINNAMON EXTRACT [CINNAMOMUM CASSIA TWIG],Cinnamon,Inflammation
"GOREISAN /08015901/ (ALISMA PLANTAGO-AQUATICA VAR. ORIENTALE TUBER, ATRACTYLODES SPP. RHIZOME, CINNAMOMIUM CASSIA BARK, POLYPORUS UMBELLATUS SCLEROTIUM, PORIA COCOS SCLEROTIUM)",Cinnamon,
"GOSHAJINKIGAN (ACHYRANTHES BIDENTATA ROOT, ACONITUM SPP. PROCESSED ROOT, ALISMA PLANTAGO-AQUATICA VAR. ORIENTALE TUBER, CINNAMOMUM CASSIA BARK, CORNUS OFFICINALIS FRUIT, DIOSCOREA SPP. RHIZOME, PAEONIA X SUFFRUTICOSA ROOT BARK, PLANTAGO ASIATICA SEED, PORIA COCOS SCLEROTIUM, REHMANNIA GLUTINOSA ROOT)",Cinnamon,
"HACHIMIJIOGAN (ACONITUM SPP. PROCESSED ROOT, ALISMA PLANTAGO-AQUATICA VAR. ORIENTALE TUBER, CINNAMOMUM CASSIA BARK, CORNUS OFFICINALIS FRUIT, DIOSCOREA SPP. RHIZOME, PAEONIA X SUFFRUTICOSA ROOT BARK, PORIA COCOS SCLEROTIUM, REHMANNIA GLUTINOSA ROOT)",Cinnamon,
KAKKONTO [CINNAMOMUM CASSIA BARK;EPHEDRA SPP.,Cinnamon,Prophylaxis
KAKKONTO [CINNAMOMUM CASSIA BARK;EPHEDRA SPP. HERB;GLYCYRRHIZA SPP. RO,Cinnamon,Product used for unknown indication
KAKKONTO [CINNAMOMUM CASSIA BARK;EPHEDRA SPP. HERB;GLYCYRRHIZA SPP. RO,Cinnamon,Influenza
KAKKONTO [CINNAMOMUM CASSIA BARK;EPHEDRA SPP. HERB;GLYCYRRHIZA SPP. RO,Cinnamon,Nasopharyngitis
KAKKONTO [CINNAMOMUM CASSIA BARK;EPHEDRA SPP. HERB;GLYCYRRHIZA SPP. RO,Cinnamon,Prophylaxis
KAKKONTOKASENKYUSHIN'I [CINNAMOMUM CASSIA BARK;CNIDIUM OFFICINALE RHIZ,Cinnamon,Product used for unknown indication
KEISHIKASHAKUYAKUTO [CINNAMOMUM CASSIA BARK;GLYCYRRHIZA SPP. ROOT;PAEO,Cinnamon,Abdominal distension
"MAOTO (CINNAMOMUM CASSIA BARK, EPHEDRA SPP. HERB, GLYCYRRHIZA SPP. ROOT, PRUNIUS SPP. SEED)",Cinnamon,
RYOKEIJUTSUKANTO [ATRACTYLODES LANCEA RHIZOME;CINNAMOMUM CASSIA BARK;G,Cinnamon,
"SAIREITO /08000901/ (ALISMA PLANTAGO-AQUATICA VAR. ORIENTALE TUBER, ATRACTYLODES LANCEA RHIZOME, BUPLEURUM FALCATUM ROOT, CINNAMOMUM CASSIA BARK, GLYCYRRHIZA SPP. ROOT, PANAX GINSENG ROOT, PINELLIA TERNATA TUBER, POLYPORUS UMBELLATUS SCLEROTIUM, PORIA COCOS SCLEROTIUM, SCUTELLARIA BAICALENSIS ROOT, ZINGIBER OFFICINALE RHIZOME, ZIZIPHUS JUJUBA VAR. INERMIS FRUIT)",Cinnamon,
SHOSEIRYUTO [ASARUM SPP. ROOT;CINNAMOMUM CASSIA BARK;EPHEDRA SPP.,Cinnamon,
SHOSEIRYUTO [ASARUM SPP. ROOT;CINNAMOMUM CASSIA BARK;EPHEDRA SPP. HERB,Cinnamon,Product used for unknown indication
SHOSEIRYUTO [ASARUM SPP. ROOT;CINNAMOMUM CASSIA BARK;EPHEDRA SPP. HERB,Cinnamon,Seasonal allergy
SHOSEIRYUTO [ASARUM SPP. ROOT;CINNAMOMUM CASSIA BARK;EPHEDRA SPP. HERB,Cinnamon,Nasopharyngitis
"CHROMIUM, CINNAMOMUM VERUM",Cinnamon,
CHROMIUM/CINNAMOMUM VERUM/ZINC,Cinnamon,
CHROMIUM W/CINNAMOMUM VERUM/ZINC,Cinnamon,
CINNAMOMUM VERUM,Cinnamon,Blood glucose
CINNAMOMUM VERUM,Cinnamon,Product used for unknown indication
CINNAMOMUM VERUM,Cinnamon,Diabetes mellitus
CINNAMOMUM VERUM,Cinnamon,Blood glucose abnormal
CINNAMOMUM VERUM,Cinnamon,Supplementation therapy
CINNAMOMUM VERUM,Cinnamon,Routine health maintenance
CINNAMOMUM VERUM,Cinnamon,Blood glucose decreased
CINNAMOMUM VERUM,Cinnamon,Drug use for unknown indication
CINNAMOMUM VERUM,Cinnamon,Blood glucose increased
CINNAMOMUM VERUM,Cinnamon,Cardiac disorder
CINNAMOMUM VERUM BARK,Cinnamon,Product used for unknown indication
CINNAMOMUM VERUM BARK,Cinnamon,Macular degeneration
CINNAMOMUM VERUM BARK,Cinnamon,Restlessness
CINNAMOMUM VERUM BARK,Cinnamon,Liver disorder
CINNAMOMUM VERUM BARK,Cinnamon,Pain
CINNAMOMUM VERUM BARK,Cinnamon,Menorrhagia
CINNAMOMUM VERUM (CINNAMOMUM VERUM),Cinnamon,
CINNAMOMUM VERUM OIL,Cinnamon,
CINNAMON /01647501/ (CINNAMOMUM VERUM),Cinnamon,
CINNAMON CAPSULE (CINNAMOMUM VERUM) (CINNAMOMUM VERUM),Cinnamon,
CINNAMON ( CINNAMOMUM VERUM),Cinnamon,
CINNAMON (CINNAMOMUM VERUM),Cinnamon,
CINNAMON(CINNAMOMUM VERUM),Cinnamon,
"CINNAMON (CINNAMOMUM VERUM) TABLET, 500 MG",Cinnamon,
CINNAMON (CINNAMOMUM VERUM) (UNKNOWN),Cinnamon,
CINNAMON (CINNAMOMUM VERUM)(UNKNOWN),Cinnamon,
CINNAMON (CINNAMOMUN VERUM) (CINNAMOMUM VERUM),Cinnamon,
CINNAMON PILLS (CINNAMOMUM VERUM),Cinnamon,
CINNAMON WITH CHROMIUM (CINNAMOMUM VERUM),Cinnamon,
CNNAMON (CINNAMOMUM VERUM) (CINNAMOMUM VERUM),Cinnamon,
MENTHOL/THYMOL/SYZYGIUM AROMATICUM OIL/CINNAMOMUM VERUM BARK OIL/EUCALYPTUS GLOBULUS OIL/FOENICULUM,Cinnamon,
"S.M. (CALCIUM CARBONATE, CINNAMOMUM VERUM POWDER, COPTIS TRIFOLIA, DIA",Cinnamon,
ALPHA LIPSIS SOID.CINNAMON,Cinnamon,
ATRACTYLODES LANCEA RHIZOME/ALISMA RHIZOME/POLYPORUS SCLEROTIUM/PORIA SCLEROTIUM/CINNAMON BARK,Cinnamon,Blood glucose increased
BERBERTINE + CINNAMON BARK,Cinnamon,
"CABAGIN (CINNAMON, POWDERED, DIASTASE, LIQURICE, MENTHOL, NISIN, SCOPO",Cinnamon,
CHINESE LICORICE (+) CHINESE PEONY (+) CINNAMON (+) EPHEDRA (+) GINGER,Cinnamon,
CHROMIUM;CINNAMON,Cinnamon,Diabetes mellitus
CHROMIUM/CINNAMON,Cinnamon,Diabetes mellitus
CHROMIUM/CINNAMON,Cinnamon,Supplementation therapy
CHROMIUM/CINNAMON,Cinnamon,Prophylaxis
CHROMIUM/CINNAMON,Cinnamon,Blood glucose fluctuation
CHROMIUM/CINNAMON,Cinnamon,Glycosylated haemoglobin
CHROMIUM/CINNAMON,Cinnamon,Type 2 diabetes mellitus
CINNAMON                           /01647501/,Cinnamon,Diabetes mellitus
CINNAMON                           /01647501/,Cinnamon,Blood glucose increased
CINNAMON                           /01647501/,Cinnamon,Product used for unknown indication
CINNAMON                           /01647501/,Cinnamon,Irritable bowel syndrome
CINNAMON                           /01647501/,Cinnamon,Supplementation therapy
CINNAMON                           /01647501/,Cinnamon,Weight decreased
CINNAMON                           /01647501/,Cinnamon,Routine health maintenance
CINNAMON                           /01647501/,Cinnamon,Blood glucose
CINNAMON                           /01647501/,Cinnamon,Blood glucose decreased
CINNAMON                           /01647501/,Cinnamon,Blood glucose abnormal
CINNAMON                           /01647501/,Cinnamon,Diabetes mellitus management
CINNAMON                           /01647501/,Cinnamon,Glucose tolerance impaired
CINNAMON                           /01647501/,Cinnamon,Pain
CINNAMON                           /01647501/,Cinnamon,Phytotherapy
CINNAMON                           /01647501/,Cinnamon,Type 2 diabetes mellitus
CINNAMON                           /01647501/,Cinnamon,Hypertension
CINNAMON                           /01647501/,Cinnamon,Blood cholesterol
CINNAMON                           /01647501/,Cinnamon,Nutritional supplementation
CINNAMON                           /01647501/,Cinnamon,Arthritis
CINNAMON                           /01647501/,Cinnamon,Prophylaxis
CINNAMON                           /01647501/,Cinnamon,Blood pressure management
CINNAMON                           /01647501/,Cinnamon,Metabolic disorder
CINNAMON                           /01647501/,Cinnamon,Food craving
CINNAMON /01647501/,Cinnamon,Product used for unknown indication
CINNAMON /01647501/,Cinnamon,Adverse event
CINNAMON /01647501/,Cinnamon,Nutritional supplementation
CINNAMON                           /01647506/,Cinnamon,Product used for unknown indication
CINNAMON                           /05656701/,Cinnamon,Product used for unknown indication
CINNAMON                           /05656704/,Cinnamon,Product used for unknown indication
CINNAMON 1000 MG WITH CHROMIUM,Cinnamon,Product used for unknown indication
CINNAMON 1000/PLUS CHROMIUM,Cinnamon,
CINNAMON 500 MG PLUS CHROMIUM METABOLISM SUPPORT,Cinnamon,Diabetes mellitus
CINNAMON AND CHROMIUM,Cinnamon,Blood pressure abnormal
CINNAMON AND GREEN TEA,Cinnamon,
CINNAMON AND HONEY,Cinnamon,
CINNAMON BARK EXTRACT,Cinnamon,
CINNAMON BARK W/CHROMIMUN,Cinnamon,
CINNAMON/CHRM,Cinnamon,
CINNAMON+CHROM,Cinnamon,Vitamin supplementation
CINNAMON/CHROME,Cinnamon,
CINNAMON CHROMIUM,Cinnamon,Glucose tolerance impaired
CINNAMON + CHROMIUM,Cinnamon,
CINNAMON/CHROMIUM,Cinnamon,Diabetes mellitus
CINNAMON/CHROMIUM,Cinnamon,Product used for unknown indication
CINNAMON/CHRONDROITIN,Cinnamon,Product used for unknown indication
CINNAMON (CINAMOMUM VERUM),Cinnamon,
CINNAMON (CINNAMOMUN VERUM),Cinnamon,
CINNAMON (CINNAMOM VERUM),Cinnamon,
CINNAMON (CINNAMON VERUM),Cinnamon,Blood glucose abnormal
CINNAMON (CINNAMOUM VERUM) (CAPSULES),Cinnamon,
CINNAMON CITRACAL + D CLOTRIMAZOLE,Cinnamon,
CINNAMON (CNINAMOMUM VERUM),Cinnamon,
CINNAMON COMPLEX,Cinnamon,
CINNAMON CR,Cinnamon,
CINNAMON EXTRACT,Cinnamon,Blood glucose abnormal
CINNAMON EXTRACT,Cinnamon,Diabetes mellitus
CINNAMON EXTRACT,Cinnamon,Blood glucose increased
CINNAMON EXTRACT [CINNAMOMUM BURMANNI],Cinnamon,Product used for unknown indication
CINNAMON EXTRACT TABLETS,Cinnamon,Routine health maintenance
CINNAMON EXTRACT TABLETS,Cinnamon,Medical diet
CINNAMON GARLIC,Cinnamon,
CINNAMON PLUS CHROMIUM,Cinnamon,Diabetes mellitus
CINNAMON PLUS CHROMIUM,Cinnamon,Immune enhancement therapy
CINNAMON PLUS CHROMIUM,Cinnamon,Product used for unknown indication
CINNAMON PLUS CHROMIUM METABOLISM SUPPORT,Cinnamon,
CINNAMON RED HOTS,Cinnamon,Cough
CINNAMON TEA,Cinnamon,
CINNAMON VERUM,Cinnamon,
CINNAMON W/CHROMIUM,Cinnamon,
CINNAMON W/ CHROMIUM,Cinnamon,Product used for unknown indication
CINNAMON WITH CHROMIUM,Cinnamon,Carbohydrate metabolism disorder
CINNAMON WITH CHROMIUM,Cinnamon,Diabetes mellitus
CINNAMON WITH HONEY AND TEA COMBINATION,Cinnamon,Blood cholesterol
CINNULIN PF (WATER CINNAMON EXTRACT),Cinnamon,
"CINSULILN (CINNAMON, VITAMIN D3, 500IU)",Cinnamon,
CINSULIN (CINNAMON AND CHROMIUM PICOLINATE),Cinnamon,
CO-Q 10 W/CINNAMON,Cinnamon,
COQ10 WITH CINNAMON,Cinnamon,
"^GOOD HERBS ORIGINAL^ TEA - ROOBOIS, ROSEHIPS, CHAMOMILE, CINNAMON, LE",Cinnamon,
HERBAL SUPPLEMENT WITH CINNAMON,Cinnamon,Drug use for unknown indication
HONEY + CINNAMON,Cinnamon,
INNAMON (CINNAMON VERUM) CAPSULE,Cinnamon,
"KAIGEN (CAFFEINE, CINNAMON, GLYCYRRHIZA EXTRACT, METHYLEPHEDRINE HYDRO",Cinnamon,
LOOSE LEAF TEA (YERBA MATE) W/DANDELION ROOT+TUMERIC+CINNAMON+OREGAN+THYME,Cinnamon,
MISTURA CARMINATIVA (CARAWAY (+) CARDAMOM SEED (+) CINNAMON (+) GLYCER,Cinnamon,
PURITAN'S PRIDE CINNAMON WITH HIGH POTENCY CHROMIUM COMPLEX,Cinnamon,Supplementation therapy
VITAMIN C-CINNAMON,Cinnamon,Product used for unknown indication
VITAMIN E CINNAMON,Cinnamon,
WALGREENS BRAND CINNAMON CAPSULES,Cinnamon,
FENUGREEK,Fenugreek,Product used for unknown indication
FENUGREEK,Fenugreek,Sinus disorder
FENUGREEK,Fenugreek,Breast feeding
FENUGREEK,Fenugreek,Suppressed lactation
FENUGREEK,Fenugreek,Routine health maintenance
FENUGREEK,Fenugreek,Phytotherapy
FENUGREEK,Fenugreek,Immune system disorder
FENUGREEK,Fenugreek,General physical condition
FENUGREEK,Fenugreek,Lactation disorder
FENUGREEK,Fenugreek,Blood cholesterol abnormal
FENUGREEK,Fenugreek,Lactation stimulation therapy
FENUGREEK,Fenugreek,Type 2 diabetes mellitus
FENUGREEK,Fenugreek,Drug use for unknown indication
FENUGREEK                          /01475701/,Fenugreek,Product used for unknown indication
FENUGREEK                          /01475701/,Fenugreek,Gout
FENUGREEK                          /01475701/,Fenugreek,Phytotherapy
FENUGREEK                          /01475701/,Fenugreek,Supplementation therapy
FENUGREEK                          /01475701/,Fenugreek,Lactation stimulation therapy
FENUGREEK AND THYME,Fenugreek,
FENUGREEK BLOOD SUGAR HEALTH,Fenugreek,Product used for unknown indication
FENUGREEK CAPSULE,Fenugreek,
FENUGREEK + CHROME,Fenugreek,
FENUGREEK (HERB),Fenugreek,
FENUGREEK HERBAL SUPPLEMENT,Fenugreek,
FENUGREEK POWDER,Fenugreek,
FENUGREEK SUPPLEMENT,Fenugreek,
FENUGREEK/THYME,Fenugreek,
FENUGREEK (TRIGONELLA FOENUM GRAECUM),Fenugreek,
FENUGREEK (TRIGONELLA FOENUM-GRAECUM),Fenugreek,
FENUGREEK [TRIGONELLA FOENUM-GRAECUM],Fenugreek,Product used for unknown indication
FENUGREEK [TRIGONELLA FOENUM-GRAECUM],Fenugreek,Lactation stimulation therapy
FENUGREEK [TRIGONELLA FOENUM?GRAECUM],Fenugreek,Product used for unknown indication
FENUGREEK [TRIGONELLA FOENUM?GRAECUM],Fenugreek,Weight decreased
FENUGREEK [TRIGONELLA FOENUM-GRAECUM SEED],Fenugreek,Product used for unknown indication
FENUGREEK [TRIGONELLA FOENUM?GRAECUM SEED],Fenugreek,Product used for unknown indication
NATURE'S OWN GARLIC AND C HORSERADISH WITH FENUGREEK AND MARSHMALLOW,Fenugreek,
ORCHARD AND GARDEN BLEND FENUGREEK,Fenugreek,
PENUGREEK (FENUGREEK),Fenugreek,
UNSPECIFIED FENUGREEK,Fenugreek,
FEVERFEW,Feverfew,Product used for unknown indication
FEVERFEW,Feverfew,Migraine
FEVERFEW,Feverfew,Headache
FEVERFEW,Feverfew,Pain
FEVERFEW                           /01723001/,Feverfew,Product used for unknown indication
FEVERFEW (HERBAL EXTRACTS NOS),Feverfew,
FEVERFEW (TANACETUM PARTHENIUM),Feverfew,
FEVERFEW [TANACETUM PARTHENIUM],Feverfew,Product used for unknown indication
FEVERFEW [TANACETUM PARTHENIUM],Feverfew,Prophylaxis
FEVERFEW [TANACETUM PARTHENIUM LEAF],Feverfew,Product used for unknown indication
FEVERFEW [TANACETUM PARTHENIUM LEAF],Feverfew,Migraine
FEVERFEW TEA,Feverfew,
FEVERFEW WITH BUTTERBUR,Feverfew,
MIGLIEF (MAGNESIUM AND FEVERFEW),Feverfew,
"MIGRE-LIEF (FEVERFEW, MAGNESIUM, RIBOFLAVIN)",Feverfew,
TANACETUM PARTHENIUM,Feverfew,Migraine
TANACETUM PARTHENIUM,Feverfew,Product used for unknown indication
1000 MG. FLAXSEED OIL,Flax seed,
B12 BY B1 ZINC MAGNESIUM FLAXSEED OIL,Flax seed,
BARLEAN'S FLAX OIL VEGAN OMEGA-3 FORMULA,Flax seed,
BARLEAN'S FRESH FLAX OIL,Flax seed,
BLACK COHOSH-FLAXSEED SOY,Flax seed,
BLACK COHOSH-FLAXSEED-SOY,Flax seed,Product used for unknown indication
BORAGE FLAX,Flax seed,
BORAGE OIL AND FLAXSEED AND OMEGA-3 MARINE TRIGLYCERIDES AND SAFFLOWER,Flax seed,
BORAGE OIL (+) FLAXSEED (+) OMEGA,Flax seed,
BORAGE OIL (+) FLAXSEED (+) OMEGA-3 MARI,Flax seed,
CALCIUM COLACE FLAX SEED FLUNISOLIDE SPR IPRATROIUM SPR,Flax seed,
CBD FLAXSEES COMBO,Flax seed,
CQ10+ FLAX SEED,Flax seed,
CRUSHED FLAX SEED,Flax seed,
CVS FLAXSEED OIL,Flax seed,Product used for unknown indication
DHA?EPA?FLAXSEED OIL?VITAMIN E,Flax seed,
EFA - FLAXSEED,Flax seed,
EQL FLAXSEED OIL,Flax seed,Product used for unknown indication
ESTER-C FLAX OIL-FISH OIL-BORAGE OIL,Flax seed,
EXTRA-STRENGTH FLAX SEED,Flax seed,
FISH AND FLAX OILS,Flax seed,
FISH AND FLAXSEED OIL,Flax seed,
"FISH FLAX AND MOROCCAN OIL WITH OMEGA 3,6,9 HEART HEALTH SOFT GEL",Flax seed,
FISH/FLAX/BORAG,Flax seed,
FISH FLAX + BORAGE OIL,Flax seed,
FISH/FLAX BORAGE OIL,Flax seed,
FISHFLAX-BORAGE OIL,Flax seed,
FISH/FLAX/BORAGE OIL MIXTURE,Flax seed,Product used for unknown indication
FISH + FLAX OIL,Flax seed,
FISH/FLAX OIL,Flax seed,
"FISH FLAXSEED SAFFLOWER AND OLIVE OILS OMEGA 6, 3 AND 9",Flax seed,Antioxidant therapy
"FISH FLAXSEED SAFFLOWER AND OLIVE OILS OMEGA 6, 3 AND 9",Flax seed,Cardiac disorder
FISH OIL/ FLAX/ BORAX OIL,Flax seed,Product used for unknown indication
FISH OIL/ FLAX OIL,Flax seed,Product used for unknown indication
FISH OIL/FLAX OIL,Flax seed,
FISH OIL/FLAXSEED OIL COMBINATION,Flax seed,Drug use for unknown indication
FLAX,Flax seed,Product used for unknown indication
FLAX,Flax seed,Supplementation therapy
FLAX,Flax seed,Cardiac disorder
FLAX,Flax seed,Skin disorder
FLAX,Flax seed,Vitamin supplementation
FLAX,Flax seed,Drug use for unknown indication
FLAX AND BORAGE OIL W.OMEGA,Flax seed,
FLAX AND FIBER,Flax seed,Drug use for unknown indication
FLAXA SEEDS,Flax seed,
FLAX + BORAGE OIL,Flax seed,
FLAX/BORAGE OIL,Flax seed,
FLAX CAPSULES,Flax seed,
FLAX COMPLETE,Flax seed,
FLAXEED,Flax seed,Drug use for unknown indication
FLAX EED OIL,Flax seed,
FLAXEED OIL,Flax seed,Supplementation therapy
FLAX FIBER,Flax seed,
FLAX/FISH OIL,Flax seed,
FLAX/FISH OIL/BORIC SUPPLEMENT,Flax seed,
FLAX/FISH OIL SUPPLEMENT,Flax seed,
FLAX FISH ORANGE OIL,Flax seed,
FLAX (FLAX SEED OIL),Flax seed,
FLAX GROUND OIL,Flax seed,
FLAX MEAL,Flax seed,Prophylaxis
FLAX OIL,Flax seed,Blepharitis
FLAX OIL,Flax seed,Supplementation therapy
FLAX OIL,Flax seed,Nutritional supplementation
FLAX OIL,Flax seed,Product used for unknown indication
FLAX OIL,Flax seed,Rheumatoid arthritis
FLAX OIL,Flax seed,Visual impairment
FLAX OIL,Flax seed,Hyperlipidaemia
FLAX OIL,Flax seed,Medical diet
FLAX OIL,Flax seed,Arteriosclerosis
FLAX OIL,Flax seed,Vitamin supplementation
FLAX OIL,Flax seed,Drug use for unknown indication
FLAX-OIL,Flax seed,
FLAX OIL                           /01649403/,Flax seed,Supplementation therapy
FLAX OIL                           /01649403/,Flax seed,Product used for unknown indication
FLAX OIL                           /01649403/,Flax seed,Bowel movement irregularity
FLAX OIL /01649403/,Flax seed,
FLAX OIL 1000 MG,Flax seed,
FLAX OIL CAPS,Flax seed,
FLAX OIL CAPSULES,Flax seed,
FLAX OIL/FISH OIL,Flax seed,
FLAX OIL [LINOLEIC ACID;LINUM USITATISSIMUM OIL;OLEIC ACID],Flax seed,Product used for unknown indication
FLAX OIL (LINSEED OIL0,Flax seed,
FLAX OIL [LINUM USITATISSIMUM OIL],Flax seed,Prophylaxis
FLAX OIL [LINUM USITATISSIMUM OIL],Flax seed,Product used for unknown indication
FLAX OIL                     (LINUM USITATISSIMUM SEED OIL),Flax seed,
FLAX OIL (LINUM USITATISSIMUM SEED OIL),Flax seed,
