FAERS_drug_match,lookup_value,indi_pt
CASSIA ACUTIFOLIA,Cinnamon,Influenza
CASSIA ACUTIFOLIA,Cinnamon,Ill-defined disorder
CASSIA ACUTIFOLIA,Cinnamon,Functional gastrointestinal disorder
CASSIA ALATA,Cinnamon,
CASSIA ALEXANDRINA,Cinnamon,Ill-defined disorder
CASSIA ANGUSTIFOLIA,Cinnamon,Constipation
CASSIA ANGUSTIFOLIA,Cinnamon,Product used for unknown indication
"CASSIA, DOCUSATE",Cinnamon,
CASSIA EXTRACT,Cinnamon,Constipation
CASSIA FISTULA,Cinnamon,Product used for unknown indication
CASSIA FISTULA,Cinnamon,Functional gastrointestinal disorder
CASSIA FISTULA,Cinnamon,Constipation
CASSIA FISTULA,Cinnamon,Drug use for unknown indication
CASSIA FISTULA (+) CORIANDER (+) GLYCYRR,Cinnamon,
CASSIA FISTULA/SENNA,Cinnamon,Product used for unknown indication
CASSIA OBOVATA,Cinnamon,Constipation
CASSIA SEED,Cinnamon,
CASSIA (SENNOSIDES),Cinnamon,Product used for unknown indication
CASSIA (SENNOSIDES),Cinnamon,Constipation
CASSIA (SENNOSIDES),Cinnamon,Bowel preparation
CASSIA SIEBERIANA ROOTS,Cinnamon,Weight decreased
CASSIA (UNK INGREDIENTS),Cinnamon,
CASSIA VIRGINICA,Cinnamon,Product used for unknown indication
CASSIA VIRGINICA [SENNA OCCIDENTALIS],Cinnamon,Product used for unknown indication
"IDEOLAXIL (SENNA, CASSIA AUGUSTIFOLIA, ALOE) (TABLETS)",Cinnamon,Constipation
SENNA/CASSIA FISTULA/TAMARINDUS INDICA/CORIANDRUM SATIVUM/GLYCYRRHIZA,Cinnamon,
SODIUM PICOSULPHATE/CASSIA SENNA/POLYGONUM PUNCTATUM/COLLINSONIA CANAD,Cinnamon,
"3,4-METHYLENEDIOXYCINNAMIC ACID",Cinnamon,Product used for unknown indication
ACENOCOUMARIN,Cinnamon,International normalised ratio
ACENOCOUMARIN,Cinnamon,Drug use for unknown indication
ACENOCOUMARINE,Cinnamon,
AMINOCOUMARIN,Cinnamon,
COUMADIN /00627701/(COUMARIN),Cinnamon,
"COUMADIN /00627701/(COUMARIN) TABLET, 5MG",Cinnamon,Product used for unknown indication
COUMADIN//COUMARIN,Cinnamon,Atrial fibrillation
COUMADIN//COUMARIN,Cinnamon,Deep vein thrombosis
COUMADIN//COUMARIN,Cinnamon,Anticoagulant therapy
COUMARIN DERIVATIVE,Cinnamon,Atrial fibrillation
COUMARIN DERIVATIVE,Cinnamon,Cardiac failure
COUMARIN DERIVATIVE,Cinnamon,Drug use for unknown indication
COUMARINE,Cinnamon,
COUMARIN [PIROXICAM] (IN BROWN SOLUTION),Cinnamon,Joint sprain
COUMARIN/VITAMIN K ANTAGONIST,Cinnamon,Product used for unknown indication
COUMARIN/VIT-K-ANTAGONIST (VITAMIN K ANTAGONISTS),Cinnamon,Product used for unknown indication
DICOUMARIN,Cinnamon,Thrombosis prophylaxis
DICOUMARINS,Cinnamon,
"ESBERIVEN (COUMARIN, HEPARIN SODIUM, MELILOT, RUTIN)",Cinnamon,
"ESBRERIVEN (COUMARIN, HEPARIN SODIUM, MELILOT , RUTIN)",Cinnamon,
FURANOCOUMARINS,Cinnamon,
"VENALOT [COUMARIN,TROXERUTIN]",Cinnamon,Peripheral venous disease
"VENALOT [COUMARIN,TROXERUTIN]",Cinnamon,Product used for unknown indication
"VENALOT [COUMARIN,TROXERUTIN]",Cinnamon,Thrombosis
VENALOT [COUMARIN;TROXERUTIN],Cinnamon,Varicose vein
VENALOT [COUMARIN;TROXERUTIN],Cinnamon,Cardiovascular disorder
VENALOT CREAM (5 MG COUMARIN AND 50 IU SODIUM HEPARIN),Cinnamon,
ANETHOLE AND BORNEOL AND CAMPHENE AND EUCALYPTOL AND FENCHONE AND PINE,Cinnamon,Nephrolithiasis
CODEINE CAMSYLATE AND EUCALYPTOL,Cinnamon,Sleep disorder
"COOL MINT LISTERINE (EUCALYPTOL, MENTHOL, METYL SALICYLATE, THYMOL)",Cinnamon,Intentional overdose
"COOL MINT LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon,Alcohol use
"COOL MINT LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon,Dental disorder prophylaxis
"COOL MINT, LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon,Accidental exposure
"COOL MINT LISTERINE MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL,",Cinnamon,Intentional misuse
"COOL MINT LISTERINE POCKETPAKS (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Dry mouth
EUCALYPTOL + GUAIACOL + PHOLCODINE,Cinnamon,
EUCALYPTOL LIMONENE,Cinnamon,
"EUCALYPTOL, LIMONENE AND PINENE",Cinnamon,Productive cough
EUCALYPTOL LIMONENE PINENE,Cinnamon,Bronchial disorder
EUCALYPTOL LIMONENE PINENE,Cinnamon,Chronic sinusitis
EUCALYPTOL LIMONENE PINENE,Cinnamon,Upper respiratory tract infection
EUCALYPTOL LIMONENE PINENE,Cinnamon,Product used for unknown indication
EUCALYPTOL LIMONENE PINENE,Cinnamon,Sinusitis
EUCALYPTOL/LIMONENE/PINENE,Cinnamon,Cough
EUCALYPTOL/LIMONENE/PINENE,Cinnamon,Otitis media acute
EUCALYPTOL/MENTHOL/METHYLSALICYLATE/THYMOL,Cinnamon,Alcohol abuse
"FRESHBURST LISTERINE (EUCALYPTOL, MENTHOL, METHYLSALICYLATE, THYMOL)",Cinnamon,Dental care
"FRESHBURST LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon,Intentional overdose
"FRESHBURST LISTERINE MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICYLATE",Cinnamon,Dental care
"FRESHBURST LISTERINE MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Accidental exposure
"FRESHBURST LISTERINE MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Dental disorder prophylaxis
"FRESHBURST LISTERINE MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Pharyngolaryngeal pain
"FRESHBURST LISTERINE MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Dental care
"FRESHBURST LISTERINE MOUTHWAS (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,
"LISTERINE ANTISEPTIC MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICYLATE",Cinnamon,Dental care
"LISTERINE ANTISEPTIC MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICYLATE",Cinnamon,Intentional overdose
"LISTERINE ANTISEPTIC MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICYLATE",Cinnamon,Accidental exposure
"LISTERINE ANTISEPTIC MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICYLATE",Cinnamon,Toothache
"LISTERINE ANTISEPTIC MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICYLATE",Cinnamon,Alcoholism
"LISTERINE ANTISEPTIC MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICYLATE",Cinnamon,Dental disorder prophylaxis
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, MEHTYL SALICYLATE, EUCALYPTOL",Cinnamon,Feeling drunk
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICLATE, EUCALYPTOL,",Cinnamon,Dental disorder prophylaxis
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Pain
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Accidental exposure
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Dental disorder prophylaxis
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Intentional overdose
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Alcohol use
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Alcoholism
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Halitosis
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Intentional misuse
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Breath odour
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Alcohol poisoning
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Poisoning
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Suicide attempt
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Hypersensitivity
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Postnasal drip
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Denture wearer
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,Oral pain
"LISTERINE  ANTISEPTIC  MOUTHWASH (MENTHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Poisoning
"LISTERINE ANTISEPTIC MOUTHWASH (MENTOL, METHYL SALICYLATE, EUCALYPTOL,",Cinnamon,Breath odour
"LISTERINE ANTISEPTIC MOUTHWASH (METNHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon,
"LISTERINE COOL CITRUS (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon,
"LISTERINE (EUCALYPTOL, MENTHOL, METHYL SACICYLATE, THYMOL)",Cinnamon,Dental care
"LISTERINE FRESCOR CITRICO (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THY",Cinnamon,Dental disorder prophylaxis
"LISTERINE (MENTHOL, METHYL SALICYCLATE, EUCALYPTOL, THYMOL)",Cinnamon,Enema administration
"LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon,Dental disorder prophylaxis
"LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon,Feeling drunk
"LISTERINE POCKETPAKS CINNAMON (MENTHOL, METHYL SALICYCLATE, EUCALYPTOL",Cinnamon,Dental disorder prophylaxis
"LISTERINE STAY WHITE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon,
"LISTERINE VANILLA MINT (MENTHOL,  METHYL SALICYLATE, EUCALYPTOL, THUMO",Cinnamon,Dental disorder prophylaxis
"LISTERINE VANILLA MINT (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon,Dental disorder prophylaxis
"NATURAL CITRS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYMO",Cinnamon,Feeling drunk
"NATURAL CITRUS LISTERINE (EUCALYPTOL , MENTHOL, METHYL SALICYLATE, THY",Cinnamon,Dental care
"NATURAL CITRUS LISTERINE (EUCALYPTOL, MENTHOL, METHYL  SALICYLATE, THY",Cinnamon,
"NATURAL CITRUS LISTERINE (EUCALYPTOL, MENTHOL, METHYL SALICYLATE, THYM",Cinnamon,Intentional overdose
"NATURAL CITRUS LISTERINE (EUCALYPTOL, MENTHOL, METHYL SALICYLATE, THYM",Cinnamon,Dental care
"NATURAL CITRUS LISTERINE (EUCALYPTOL, MENTHOL, METHYL SALICYLATE, THYM",Cinnamon,Halitosis
"NATURAL CITRUS LISTERINE (MEHTOL, METHYL SALICYLATE, EUCALYPTOL, THYMO",Cinnamon,
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYCLATE, EUCALYPTOL, THY",Cinnamon,Intentional drug misuse
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Gingivitis
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Halitosis
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Ear disorder
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Dental disorder prophylaxis
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Accidental exposure
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Alcohol poisoning
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Intentional overdose
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Periodontal disease
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Injury
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Prostate examination
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Intentional drug misuse
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Drug use for unknown indication
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Feeling drunk
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon,Dental plaque
"NATURAL CITRUS LISTERINE (MENTHOL, METHYLSALICYLATE, EUCALYPTOL, THYMO",Cinnamon,Dental disorder prophylaxis
"RINOBANEDIF (ANTAZOLINE NOS, BACITRACIN ZINC, EUCALYPTOL, NEOMYCIN SUL",Cinnamon,
"SOFTMINT SENSATION LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL,",Cinnamon,
"TARTAR CONTROL LISTERINE MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICY",Cinnamon,Dental care
EUCALYPTUS LEMON PINENE ENTERIC SOFT CAPSULE,Cinnamon,Productive cough
EUCALYPTUS LEMON PINENE ENTERIC SOFT CAPSULE,Cinnamon,Tracheobronchitis
ASUFLAXANE,Flax seed,Rheumatoid arthritis
CEFLAX,Flax seed,
CENAFLAX,Flax seed,Muscle spasms
CENAFLAX,Flax seed,Muscle tightness
CIPROFLAXACIN HD,Flax seed,
CIPROFLAXACIN -ORAL 750 MG,Flax seed,Infection
CIPROFLAXACN,Flax seed,
CIPROFLAXIN (3MG/ML),Flax seed,
CIPROFLAXIN 500 MG PER TAB,Flax seed,Pouchitis
CIPROFLAXINA HC LAZAR,Flax seed,Product used for unknown indication
CIPROFLAXINA HC LAZAR,Flax seed,Pneumonia
CIPROFLAXINA HC LAZAR,Flax seed,Pyrexia
CIPROFLAXINA HC LAZAR,Flax seed,Antibiotic therapy
CIPROFLAXINA HC LAZAR,Flax seed,Urinary tract infection
CIPROFLAXIN (CIPROGLOXACIN),Flax seed,
CIPROFLAXIN DO NOT RECALL DO NOT RECALL,Flax seed,Kidney infection
CIPROFLAXIN DO NOT REMEMBER,Flax seed,Gastric disorder
CIPROFLAXIN GENERIC 250,Flax seed,Bronchitis
CIPROFLOXACIN-CIPROFLAX HCL,Flax seed,Product used for unknown indication
CIRPROFLAXIN,Flax seed,
COFLAX,Flax seed,
DEFLAX,Flax seed,Product used for unknown indication
DEFLAXACOR,Flax seed,Bronchial disorder
DEFLAXACORT,Flax seed,Rheumatoid arthritis
DIMOFLAX,Flax seed,Gastrointestinal disorder
DORZOFLAX,Flax seed,Product used for unknown indication
EFFEXOR SR (VENFLAXINE XR),Flax seed,
EFFEXOR (VENLAFLAXINE HYDROCHLORIDE),Flax seed,
EFFEXOR XR PROBLEM IS VENLAFLAXINE THE GENERIC,Flax seed,
ENLAFLAXINE,Flax seed,Drug use for unknown indication
FLAXAMINE,Flax seed,
FLAXAROMINE,Flax seed,Product used for unknown indication
FLAXATE,Flax seed,
FLAXCED,Flax seed,Product used for unknown indication
FLAXCETOL,Flax seed,Product used for unknown indication
FLAXENOL,Flax seed,Rheumatoid arthritis
FLAXERIL,Flax seed,
FLAXID,Flax seed,Gastrooesophageal reflux disease
FLAXIPARIN (CON.),Flax seed,
FLAXIPARINE,Flax seed,
FURFLAX (NOS),Flax seed,
INFLAXEN,Flax seed,Product used for unknown indication
INFLAXEN,Flax seed,Rheumatoid arthritis
INFLAXEN,Flax seed,Pain
INFLAXIMAB,Flax seed,
KAFLAX,Flax seed,
LEVAFLAXASIN,Flax seed,
LEVEFLAXIN,Flax seed,
LEVOFLAXACINE,Flax seed,
LEVOFLAXIN/DEXTROSE,Flax seed,Infection prophylaxis
MICROFLAX,Flax seed,
NEUROFLAX,Flax seed,
NORFLAXCIN,Flax seed,
NORFLAXIN,Flax seed,Infection
OFLAX,Flax seed,
OFLAXACIN 0.3%,Flax seed,
OFLAXACIN 400MG TEVA,Flax seed,
OFLAXACINE,Flax seed,Prostatitis
OFLAXCIN,Flax seed,Ear infection
PANTEOFLAX,Flax seed,Dyspepsia
PROFLAX,Flax seed,Product used for unknown indication
PROFLAX,Flax seed,Glaucoma
REFLAX,Flax seed,Product used for unknown indication
REFLAX,Flax seed,Depression
RIFLAXIMIN,Flax seed,
RX BENLAFLAXINE,Flax seed,
SAFLAX,Flax seed,Constipation
SOFLAX,Flax seed,Schizoaffective disorder
SOFLAX,Flax seed,Constipation
SOFLAX,Flax seed,Product used for unknown indication
SOFLAX,Flax seed,Nausea
SOFLAX,Flax seed,Constipation prophylaxis
SOFLAX,Flax seed,Drug use for unknown indication
SOFLAX                             /00061602/,Flax seed,Constipation
SOFLAX                             /00061602/,Flax seed,Product used for unknown indication
SOFLAX                             /00061602/,Flax seed,Constipation prophylaxis
SOFLAX /00061602/,Flax seed,Product used for unknown indication
SOFLAX (AUSTRALIA),Flax seed,
SOFLAX C,Flax seed,Product used for unknown indication
SOFLAX (CANADA),Flax seed,Product used for unknown indication
SOFLAX (CANADA),Flax seed,Constipation
SOFLAX [DOCUSATE SODIUM],Flax seed,Product used for unknown indication
SOFLAX [DOCUSATE SODIUM],Flax seed,Haemorrhoids
SOLFLAX,Flax seed,Product used for unknown indication
VANAFLAXINE,Flax seed,
VENAFLAXINE,Flax seed,Depression
VENAFLAXINE,Flax seed,Product used for unknown indication
VENEFLAXIN,Flax seed,Product used for unknown indication
VENFLAXINE,Flax seed,Drug use for unknown indication
VENFLAXINE-HCL,Flax seed,Product used for unknown indication
VENFLAXINE HR,Flax seed,
VENFLAXINE HYDROCHLORIDE ER,Flax seed,
VENFLAXINE HYDROCHLORIDE (VENLAFAXINE HYDROCHLORIDE),Flax seed,
VENLAFLAXINE 75 RET,Flax seed,
VENLAFLAXINE CR,Flax seed,
VENLAFLAXINE ER,Flax seed,Depression
VENLAFLAXIN HCL ER,Flax seed,Depression
VENLAFLAXIN RETARD,Flax seed,
VENTLAFLAXIN,Flax seed,
VERIFLAXEN TRILIGY BREATHING MACHINE,Flax seed,
XANAFLAX,Flax seed,Drug use for unknown indication
XANAFLAX,Flax seed,Fibromyalgia
XANOFLAX,Flax seed,
ZANAFLAX,Flax seed,
ZANAFLAX (NOS),Flax seed,
ZENAFLAXIN,Flax seed,Anxiety
1/4 TEASPOON TURMERIC IN 2 TABLESPOONS OF APPLE SAUCE,Green tea,
5 GRASS MIX (AGROSTIS GIGANTEA POLLEN\ANTHOXANTHUM ODORATUM\DACTYLIS GLOMERATA\PHLEUM PRATENSE\POA PRATENSIS),Green tea,
5 GRASS MIX (AGROSTIS GIGANTEA POLLEN\ANTHOXANTHUM ODORATUM POLLEN\DACTYLIS GLOMERATA POLLEN\PHLEUM PRATENSE POLLEN\POA PRATENSIS POLLEN),Green tea,
ABBOTICIN /00020902/ (ABBOTICIN -ERYTHROMYCIN STEARATE) 500 MG (NOT SPECIFIED),Green tea,Infection
ACETEALSESTINE,Green tea,
ACETEAMINOPHEN,Green tea,
ACTEAMINOPHEN /CODEINE,Green tea,Pain
ACTEAMINOPHEN CODEINE CAFFEINE,Green tea,Product used for unknown indication
ACTEAMINOPHEN (PARACETAMOL),Green tea,
ACTEAMINOPHEN W/CODEINE(PARACETAMOL CODEINE),Green tea,
AFTIFICIAL TEARS,Green tea,
AKWA-TEARS,Green tea,
AKWA TEARS [BENZALKONIUM CHLORIDE;EDETIC ACID;POLYVINYL ALCOHOL],Green tea,
AKWA TEARS LUBRICANT EYE DROPS,Green tea,
ALCON TEARS NATURELLE #2,Green tea,Keratoconjunctivitis sicca
ALLERGIN-REFRESH ARTIFICAL TEARS,Green tea,
ALPHA-1 PROTEASE INHIBITOR,Green tea,Pancreas islet cell transplant
"ALPHA GALACTOSIDASE A, HUMAN\AMYLASE\CELLULASE\HEMICELLULASE\LACTASE\LIPASE\PHYTASE (ASPERGILLUS NIGER)\PROTEASE",Green tea,
.ALPHA.?TOCOPHEROL\ACACIA\CALCIUM LACTATE\CALCIUM STEARATE\LIVER EXTRACT,Green tea,
AMARA [ARTEMISIA ABSINTHIUM TINCTURE;CINCHONA PUBESCENS;GENTIANA LUTEA,Green tea,Product used for unknown indication
AMILASE+LIPASE PROTEASE,Green tea,
AMLODIPINE BESILATEATORVASTATIN CALCIUM,Green tea,Blood pressure
AMLODIPINE BESILATE/BESILATEATORVASTATIN CALCIUM,Green tea,
AMPHOTERICIN B AND CHOLESTEROL AND DISTEAROYLPHOSPHATIDYLGLYCEROL AND,Green tea,
AMPHOTERICIN B (+) CHOLESTEROL (+) DISTEAROYLPHOSPHATIDYLGLYCEROL (+),Green tea,Antifungal treatment
AMPHOTERICIN B (+) CHOLESTEROL (+) DISTEAROYLPHOSPHATIDYLGLYCEROL (+),Green tea,Erythema
AMYLA/LIPA/PROTEA,Green tea,Product used for unknown indication
AMYLASE/ASCORBIC ACID/CELLULASE/FOLIC ACID/LIPASE/PROTEASE,Green tea,
AMYLASE (+) CELLULASE (+) LIPASE (+) PANCREATIN (+) PROTEASE,Green tea,
AMYLASE+LIPASE+PANCRELIPASE+PROTEASE,Green tea,Pancreatic enzymes
AMYLASE-LIPASE-PROTEASE,Green tea,
AMYLASE-LIPASE-PROTEASE CAPSULE,Green tea,
AMYLASE-LIPASE-PROTEASE [PANCREASE],Green tea,
ANTI-INFLAMMATORY TEAS,Green tea,
ANTIPROTEASE,Green tea,HIV infection
ANY BRAND SINGLE USE ARTIFICAL TEARS,Green tea,
APPLE AND GINGER TEA,Green tea,
APPLE CIDER VINEGAR TEA,Green tea,
AQUA FILM TEARS,Green tea,
AQUATEAR (POLYVINYL ALCOHOL AND BENZALKONIUM CHLORIDE),Green tea,
AQUATEARS,Green tea,Product used for unknown indication
*AQUA TEARS,Green tea,
AQUA TEARS,Green tea,Product used for unknown indication
AQUA TEARS,Green tea,Dry eye
AQUATEARS                          /01282201/,Green tea,Product used for unknown indication
AQUA TEARS- AUGENGEL,Green tea,
ARTFICIAL TEARS PROVINYL ALCOHOL,Green tea,
ARTHROTEAN,Green tea,
ARTICIAL TEARS,Green tea,Dry eye
ARTIFICAIL TEARS,Green tea,Product used for unknown indication
ARTIFICAL DRO TEARS,Green tea,
ARTIFICAL TEAR OINTMENT,Green tea,
ARTIFICAL TEARS,Green tea,Dry eye
ARTIFICAL TEARS,Green tea,Product used for unknown indication
ARTIFICAL TEARS,Green tea,Vision blurred
ARTIFICAL TEARS,Green tea,Drug use for unknown indication
ARTIFICAL TEARS /00445101.,Green tea,
ARTIFICAL TEARS 0.3% DROPS,Green tea,
ARTIFICAL TEARS (ARTIFICIAL TEARS),Green tea,
ARTIFICAL TEARS POLYVINYL ALCHOLOL,Green tea,
ARTIFICIAL DRO TEARS,Green tea,
"ARTIFICIAL SALIVA, VISOTEAR",Green tea,
